33778980
/m/0hht6fr
/m/0hht6fr
David Weber

11th 4
122 1
420 1
51000 1
a 16
about 3
accept 1
access 1
accuse 1
acting 1
actions 4
additional 1
admiral 6
adopt 1
advantage 1
after 1
afterwards 1
again 1
against 2
agent 1
agrees 1
alice 1
all 4
alliance 4
allows 1
also 1
an 3
analysis 1
and 34
angry 1
anton 1
any 2
are 5
arrive 1
arrives 3
as 3
assassinations 1
assembly 2
at 3
attack 1
attempt 1
attempts 1
attention 1
away 1
back 1
backfires 1
badly 1
battle 2
battles 1
be 4
become 1
becomes 1
been 1
before 4
begin 1
begins 2
behind 1
benjamin 1
beowulf 8
beowulfan 1
besieged 1
best 1
between 3
blame 1
blow 1
book 1
bridges 1
brief 1
brought 1
bureaucrats 1
but 4
by 4
cachat 2
can 1
capability 1
capital 1
captain 1
case 1
cautious 1
certain 1
chance 1
choice 1
clear 1
combined 1
command 2
commerceraiding 1
commits 1
concludes 1
confirmed 1
confrontations 1
consequences 1
constitution 1
contacts 2
contend 1
continue 3
continuing 1
control 1
convince 1
convinced 1
convinces 1
corporations 1
course 1
criticisms 1
cross 1
crosses 1
crush 1
current 1
damaging 1
death 1
debacle 1
decide 1
declares 1
defector 1
defense 1
delegation 2
demands 1
denying 1
deputy 1
derisively 1
despite 3
destruction 1
detrimental 1
diplomatic 1
discordance 1
dissuade 1
divert 1
do 1
does 1
done 1
down 2
dr 1
drop 1
economic 1
economy 1
effects 2
efforts 1
elizabeth 1
eloise 1
embassy 1
emerge 1
empire 1
empress 1
enact 1
enemy 1
escalate 1
even 3
eventuality 1
evidence 2
executes 1
faced 1
failings 1
failure 3
failures 1
far 1
feeling 1
fellow 1
fighting 1
filareta 5
finally 1
find 1
fire 1
five 2
fleet 7
for 7
force 2
forced 2
forces 2
four 1
from 10
front 1
further 1
government 3
grand 2
grayson 1
harm 1
harrington 4
have 3
haven 4
he 1
head 2
hearing 2
her 4
herlander 1
him 3
his 8
honor 2
hopeless 1
hostilities 1
however 1
huge 1
hyper 1
hyperlimit 1
hyperspace 1
in 10
indication 1
ineffectual 1
information 2
informs 1
innokentiy 1
intelligence 1
intend 1
intends 1
internal 1
invasion 2
investigated 1
invoke 1
involvement 1
is 12
it 2
its 4
join 1
junctions 1
kingsford 3
kinsford 1
known 1
kolokoltsov 6
lacon 1
launches 1
lay 1
league 12
limit 1
longer 1
look 1
losses 2
majority 1
make 1
mandarins 5
maneuver 2
manticoran 5
manticore 16
march 1
marginal 1
massacres 1
massive 1
match 1
mayhew 1
meantime 1
media 1
meeting 2
member 1
members 1
merchant 1
mesa 2
mesan 1
military 4
misdirection 1
missile 1
mission 1
mobs 1
more 1
motion 1
navy 1
negotiate 1
negotiated 2
never 1
new 3
news 1
no 2
not 5
of 37
offer 1
office 2
officer 1
on 4
onesided 1
only 3
opens 1
ops 1
options 2
or 1
orders 2
other 3
out 3
over 1
overall 1
overwhelming 1
own 4
participate 1
pass 1
pay 1
pd 1
peace 2
perfidy 1
permanent 1
plan 1
planned 2
plans 1
pods 1
policies 1
policy 1
political 2
position 3
prepares 1
present 1
presented 2
presents 1
president 1
pressure 1
prestige 1
prevent 1
price 1
pritchart 2
proceeds 1
promptly 2
protector 1
protest 1
public 1
rajampet 4
rajani 1
realizes 1
recalling 1
recommendations 1
referendum 1
refuses 1
regarding 1
release 1
reluctant 1
repeated 1
represent 1
respective 1
response 2
responsibility 1
resumption 1
retreat 1
reveals 1
revelations 1
reverberate 1
reverse 1
risk 1
scapegoat 1
score 1
secede 1
second 1
section 1
senior 2
sent 1
serious 1
sets 1
settlement 2
she 2
ships 3
shock 1
shortly 1
should 1
simes 1
sln 4
smarter 1
so 2
solarian 4
some 1
space 1
sphinx 1
spindle 1
springs 1
stability 1
staggering 1
stand 1
star 2
start 1
state 1
stealth 1
story 1
strategy 1
strike 2
successful 1
suddenly 2
sue 1
suicide 1
summoned 1
superdreadnoughts 1
support 2
supporting 1
surrender 2
system 5
systems 1
taking 2
talks 1
task 1
technologies 1
tensions 1
terminus 1
terms 1
than 2
that 11
the 75
their 12
them 4
themselves 1
then 3
they 7
this 5
throughout 1
to 44
total 1
traffic 1
transstellar 1
trap 1
treason 2
treaty 1
tremendous 1
triggered 1
truman 1
truth 1
try 1
tuscany 1
ultimately 1
under 2
undersecretary 1
unexpected 1
unknown 1
unpalatable 1
unprecedented 1
until 1
upcoming 1
upon 6
used 1
vessels 1
via 1
victor 1
victories 1
visit 3
visvis 2
voters 1
war 1
warnings 1
weaker 1
weakness 1
when 2
which 2
while 2
who 2
will 2
willing 1
winston 1
with 9
without 1
wormhole 2
worse 1
would 2
yawata 1
yet 1
zilwicki 2
