4908429
/m/0ctp1w
/m/0ctp1w
Dean Koontz

a 8
ability 1
aboard 1
an 2
and 1
another 1
are 1
as 2
at 1
avoid 1
been 1
begins 1
building 1
butcher 3
can 1
city 1
claiming 1
clairvoyant 1
climbers 1
coming 1
connie 1
earlier 1
elevator 1
fall 1
fear 1
five 1
floor 1
foremost 1
formulates 1
frightening 1
girlfriend 1
giving 1
graham 5
grip 1
happening 1
harris 2
has 1
he 3
heightsand 1
hide 1
him 2
his 4
in 3
interview 1
is 2
kill 1
known 1
lame 1
late 1
left 1
leg 1
live 1
lives 1
long 1
madman 2
mountain 1
murderous 1
murders 1
mutilating 1
new 1
night 3
of 3
office 1
on 1
once 1
one 3
plan 1
playing 1
poses 1
psychic 1
psychopath 1
realizes 1
see 1
seek 1
senses 2
side 1
television 1
that 2
the 7
they 1
threat 1
to 5
try 1
until 1
victim 1
was 1
when 1
where 1
which 1
while 2
with 2
women 1
working 1
world 1
years 1
york 1
young 1
