19271367
/m/04y5k2_
/m/04y5k2_
Sara Douglass
2007-05
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 5
abyss 1
after 1
against 1
an 1
and 9
archpriest 1
archpriestess 1
as 2
aziel 1
be 2
because 2
begins 1
brunelle 1
but 1
by 2
cannot 1
chaos 1
coexisted 1
coil 2
companions 1
consume 1
creating 1
darkness 1
deity 1
despair 1
destruction 1
die 1
driven 1
eight 1
entity 1
escator 1
eventually 1
family 1
finds 1
first 1
for 1
fought 1
from 2
future 1
girl 1
great 1
group 1
has 1
he 1
her 2
herself 1
him 1
his 1
home 1
if 1
in 1
introduced 1
invited 1
is 4
ishbel 3
jealous 1
kanubai 3
kill 1
killed 1
king 1
known 1
leave 1
let 1
life 3
light 3
man 1
marry 1
maximillian 1
merged 1
must 1
named 1
nest 1
not 2
novel 1
of 7
old 1
only 1
out 1
outlands 1
outside 1
part 1
peacefully 1
people 1
persimius 1
plague 2
rescued 1
revelation 1
save 1
sent 1
serpent 1
serpents 1
she 5
shifts 1
some 1
story 1
tale 1
the 17
they 1
time 1
to 8
tried 1
tries 1
turns 1
twenty 1
union 1
until 1
villagers 1
was 3
water 3
while 1
who 3
whose 1
will 1
with 2
worship 1
year 1
years 1
