5640361
/m/0dxr4s
/m/0dxr4s
Glen Cook
2002-04
a 6
able 1
action 1
after 1
agree 1
agreement 1
along 1
although 1
an 4
and 16
angry 1
another 1
apartment 1
appearance 1
are 4
as 5
assailants 2
assures 1
at 1
attacked 1
attempts 2
backup 1
be 3
because 1
between 1
block 1
booming 1
bratty 1
brother 1
business 1
but 2
by 5
can 1
cannot 1
casey 3
chase 1
citizens 1
clean 1
close 1
clues 2
colonel 1
come 1
comes 1
company 1
concerns 1
country 1
creatures 2
danger 1
deal 2
decides 1
described 1
despite 2
discover 1
do 2
down 1
drawn 1
elf 3
elves 5
encounter 1
escapes 1
eventually 1
family 1
few 1
final 1
find 2
for 4
friends 1
gang 1
garrett 15
get 1
gets 1
gives 1
goddamn 1
goes 1
gone 1
group 1
has 1
head 2
him 1
himself 1
his 5
home 1
hopefully 1
hoping 1
however 1
immediate 1
in 5
indescribable 1
into 2
involve 1
involved 1
is 7
it 2
john 2
kid 1
kidnap 2
kip 11
knocked 1
leads 1
locate 2
luckily 1
made 1
make 1
manage 3
manufacture 1
max 1
meanwhile 1
members 1
mess 2
method 1
might 1
missing 3
more 3
morley 1
mysterious 1
name 1
named 2
nature 1
new 2
no 1
of 12
off 1
on 1
other 1
out 4
outside 1
own 1
parrot 1
parties 2
playmate 7
promising 1
prose 4
protests 1
pular 6
purposes 1
quite 1
ratman 1
relationship 1
relway 2
remaining 1
revolutionary 1
roze 1
rozes 1
saucerhead 2
scent 1
scuffle 1
searching 1
ships 1
silver 2
singe 3
situation 1
some 2
space 1
stables 1
stake 1
stretch 2
striking 1
suspicious 1
tagging 1
takes 1
talk 1
tate 1
tharpe 1
that 2
the 28
their 1
them 2
these 1
they 5
thinks 1
though 2
three 2
thwarting 1
time 1
times 1
to 19
top 1
tow 1
track 1
tracks 1
trail 1
transportation 1
triplets 1
true 1
try 1
trying 1
tunfaire 2
turns 2
twist 1
unable 2
unconscious 1
up 1
visit 1
wake 1
watch 2
weider 1
well 1
wheel 1
wheels 1
when 2
where 2
whereabouts 1
which 1
while 2
who 3
willard 1
with 8
world 1
