5122263
/m/0d3ps6
/m/0d3ps6
Rómulo Gallegos

{"/m/05hgj": "Novel"}
a 6
abandoned 1
abandonment 1
able 1
achieve 1
also 1
an 1
and 7
apure 1
as 1
bankrupt 1
barquero 1
became 1
brbara 3
but 2
by 3
care 1
central 1
charmed 1
constant 1
consumed 1
controlled 1
cousin 1
daughter 1
defeat 1
demonic 1
departs 1
desists 1
despotic 1
devourer 1
discovers 2
doa 3
drunkenness 1
ends 1
falls 1
fatale 1
father 1
femme 1
finally 1
graduate 1
he 3
heart 1
her 1
him 1
his 3
house 1
in 5
is 4
it 2
known 1
land 3
lawyer 1
left 1
lives 1
living 1
location 1
longer 1
lorenzo 2
love 1
luzardo 3
luzardos 2
marisela 2
meets 1
men 1
miserable 1
neither 1
no 1
nor 1
novel 1
obtain 1
of 5
own 1
pacts 1
plains 1
poverty 1
power 1
quickly 1
returns 1
said 1
santos 3
satisfy 1
seduction 1
sell 1
she 2
spirits 1
taken 1
that 3
the 8
to 5
under 1
university 1
unknown 1
uses 1
vagrant 1
venezuela 1
victim 1
was 1
when 1
whims 1
who 3
whom 1
with 3
woman 1
