1004961
/m/03yhw_
/m/03yhw_
Tracy Kidder
1981-07
170s 1
32bit 1
a 5
also 1
and 1
anything 1
are 3
as 1
assigned 1
at 1
backup 1
be 1
becomes 2
between 1
book 2
bulk 1
but 1
carolina 1
case 1
catching 1
codenamed 2
college 1
company 1
compete 1
complete 1
complex 1
computer 2
corporate 1
corporation 2
data 2
debug 1
dec 2
design 3
designed 1
designers 4
designing 2
digital 1
done 1
eagle 1
enhancements 1
equipment 1
eventually 1
every 1
existing 1
fails 1
few 1
follows 1
for 1
fountainhead 2
from 1
general 2
generation 1
give 2
given 1
graduates 1
groups 1
have 1
headquarters 1
his 1
hope 1
humble 1
in 8
is 2
job 2
leader 1
left 1
lines 1
lives 1
ma 1
machine 3
make 1
many 1
market 1
minicomputer 2
moment 1
more 1
most 1
much 1
never 1
new 5
next 1
north 1
not 1
of 7
on 2
only 2
ontime 1
opens 1
order 2
over 1
plan 1
product 1
project 4
relying 1
risks 1
schedule 1
senior 2
sexy 1
skunk 1
skunkworks 1
so 1
starting 1
starts 1
take 1
takes 1
team 1
technology 1
the 18
their 2
they 1
to 6
tom 1
turf 1
two 1
up 3
vax 1
vendor 1
waking 1
war 1
west 2
westborough 2
which 3
who 2
will 1
with 3
within 1
works 1
