597118
/m/02tvwf
/m/02tvwf
John Fletcher
1623

a 15
abergavenny 1
about 6
absence 1
abuse 1
account 1
accuser 1
act 2
action 1
adjourns 1
advancement 1
after 3
afterward 1
against 4
also 1
among 1
an 2
and 28
anne 6
anonymous 1
another 1
appeals 1
archbishop 1
are 2
arranging 1
arrest 2
arrested 1
as 5
at 2
attend 1
attendant 1
attendants 2
audience 2
away 1
banquet 1
be 2
been 1
before 1
beginning 1
between 1
birth 1
boleyn 4
born 1
brought 1
buckingham 7
but 4
by 5
campeius 5
cannot 1
canterbury 1
cardinal 5
challenges 1
chamberlain 3
charges 1
christening 1
churchman 1
closing 1
come 1
comment 1
complain 1
confront 1
continue 1
continuing 1
control 1
conversation 1
conversing 1
conviction 1
coronation 1
council 1
court 2
courtiers 1
cranmer 3
critically 1
cromwell 3
crowds 1
custody 1
dances 1
dancing 1
daughter 1
defends 3
despite 1
disguise 1
displays 1
displeasure 1
disrespect 1
divorce 2
doing 1
double 1
doubts 1
down 1
duke 1
dukes 1
elizabeth 2
emotional 1
enter 1
enters 3
enthusiastic 1
epilogue 1
especially 1
exit 1
express 1
expresses 4
fall 1
farewells 1
favour 4
favourite 1
figure 1
first 2
followed 1
follower 1
followers 1
for 7
from 2
future 2
game 1
gardiner 1
gentleman 1
gentlemen 3
gives 1
giving 1
glories 1
gossip 2
grace 1
grudgingly 1
happiest 1
has 4
have 1
he 2
hearers 1
hearing 3
henry 4
her 10
himself 3
his 19
hostility 2
i 1
ii 1
ill 1
in 9
infant 1
inform 1
introduces 2
is 9
it 2
joined 1
jokes 1
judge 1
katherine 11
king 18
ladiesinwaiting 1
lady 2
later 2
lavish 1
lavishlystaged 1
leaves 1
led 1
legitimacy 1
letters 2
look 1
lord 4
lost 1
loyalty 1
lush 1
machinations 1
made 1
make 1
makes 2
man 1
marchioness 1
marriage 1
masquers 1
massive 1
measures 1
members 1
mock 1
more 1
move 1
mutual 1
nervous 1
new 2
next 1
noblemen 1
nobles 1
norfolk 3
not 1
observe 1
occur 1
of 16
old 2
on 4
once 1
one 1
open 1
opens 2
opposing 1
orders 1
other 1
otherwise 1
over 3
overweening 1
own 3
packet 1
passes 2
pembroke 1
planned 1
play 5
playing 1
plots 1
plotting 1
pope 2
porter 1
portrays 1
power 1
prediction 1
presence 2
pride 1
primary 1
princess 1
proceeding 1
proceedings 1
procession 2
producing 1
prologue 1
protest 2
protests 1
public 1
purposes 1
queen 7
realises 1
redirected 1
refuses 1
reign 1
reliance 1
reproaches 1
reproves 1
resentment 1
responsible 1
return 1
revokes 1
rise 1
royal 1
rumour 1
ruthless 1
sad 1
scene 3
scenes 1
second 1
see 1
sends 1
serious 1
serve 1
she 1
show 1
shown 4
shows 3
so 1
speeches 1
spirits 1
spreads 1
stage 2
states 1
stay 1
stresses 1
successor 1
sudden 1
suffolk 2
summons 1
support 1
supporting 1
surrey 1
surveyor 2
sympathy 1
system 1
talk 1
tax 1
that 11
the 73
their 5
them 2
then 1
they 1
third 1
thomas 1
thrown 1
time 1
to 21
toward 2
town 1
treason 2
treatment 1
trial 5
troubles 1
trying 1
two 3
unidentified 1
updates 1
upon 1
viii 1
vision 1
visits 1
was 1
we 1
well 1
when 2
which 1
while 2
who 3
will 2
wishes 1
with 5
wolsey 23
would 1
ye 1
