24225354
/m/01bj9t
/m/01bj9t
James Jones
1957
16 1
a 13
after 1
agnes 1
and 7
army 1
arranging 1
at 1
aware 1
bama 1
basic 1
basically 1
before 1
befriends 1
being 1
boarding 1
boyfriend 1
brother 1
bullet 1
bus 2
business 1
by 2
charity 1
chicago 2
circles 1
cynical 1
cynicism 1
daughter 2
dave 7
dawn 1
depth 1
despite 1
different 1
dillert 1
education 1
embittered 1
end 1
eventually 1
factors 1
falls 1
fatal 1
father 1
fatherly 1
for 2
former 1
frank 4
french 1
friend 1
from 1
fruitless 1
gambler 1
ginny 3
good 2
gwen 2
had 1
has 3
he 3
her 4
hide 1
highest 1
him 3
hirsh 2
his 11
hometown 1
honest 1
hoodlum 1
hope 1
however 2
in 10
inherited 1
innocent 1
intellectual 1
interest 1
intoxicated 1
introducing 1
is 7
it 1
jewelry 1
left 1
loose 1
love 3
made 1
makes 1
man 1
married 1
mask 1
match 1
moorehead 1
morals 1
moves 1
niece 1
not 1
notorious 1
novel 1
of 6
offer 1
often 1
older 1
on 1
or 1
own 1
pain 1
parkman 3
placed 1
poor 1
priority 1
professor 1
proves 1
put 1
redemption 1
rejection 1
reputation 1
respectability 1
responds 1
return 1
same 1
school 1
schoolteacher 1
seem 1
seemingly 1
sees 1
serendipitously 1
settled 1
shortcomings 1
since 1
so 1
social 2
somewhat 1
stab 1
stalked 1
status 1
still 1
taken 1
takes 1
taking 1
the 8
their 1
this 1
though 1
threatens 1
to 4
two 1
unconditional 1
unequivocally 1
up 1
veteran 1
victim 1
well 2
when 1
while 1
who 3
wife 1
winds 1
with 1
woman 1
years 1
