9020079
/m/027tqvt
/m/027tqvt
Vikram Chandra
2006
147 1
1thcentury 1
a 3
ambition 1
and 3
as 2
below 1
between 1
bhai 1
charged 1
city 1
combines 1
contemporary 1
copsandbhais 1
corruption 1
crime 1
delves 1
detective 1
economic 1
emotionally 1
espionage 1
even 1
for 1
form 1
from 1
games 3
gangster 1
golden 1
heatdrenched 1
hindi 1
in 2
india 2
indian 1
interweaving 1
into 1
is 1
it 1
its 1
larger 1
lie 1
links 1
local 1
many 1
money 1
narratives 1
novel 1
nuclear 1
of 6
on 1
organized 1
particular 1
partition 1
politics 1
portrays 1
renaissance 1
richly 1
sacred 3
shimmering 1
slang 1
social 1
specter 1
spidery 1
sprawling 1
surfaces 1
takes 1
term 1
terrorism 1
that 1
the 8
themes 1
thread 1
thriller 1
to 1
violence 1
voices 1
with 1
worlds 1
wrenching 1
