32403653
/m/0gytb9p
/m/0gytb9p
Paula Fox
1970
a 3
affected 1
an 1
and 5
are 1
as 1
attorney 1
bentwood 1
books 1
brooklyn 1
but 1
by 2
childless 1
class 1
couple 1
crime 1
desperately 1
details 1
disintegrating 1
each 1
emotional 1
everywhere 1
existence 1
feeling 1
film 1
fragile 1
friends 1
he 1
heights 1
helpless 1
in 1
interact 1
is 2
leaving 1
loveless 1
marriage 1
middle 1
middleaged 1
not 1
of 2
only 1
other 1
otto 1
paranoid 1
psychological 1
relationship 1
scared 1
she 1
sophie 1
states 1
surround 1
that 1
the 2
their 4
them 2
they 2
threats 1
translator 1
trapped 1
turn 1
urban 1
vandalism 1
with 1
