6403964
/m/0g426j
/m/0g426j
Stephen Hunter
1999-04-13
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
160s 1
170s 1
8 1
a 17
about 1
across 1
act 1
admired 1
after 2
alienating 1
alive 1
all 1
already 1
an 4
and 11
another 1
are 1
army 1
around 1
as 1
assault 1
assumes 1
at 1
attempt 1
attempted 1
attempts 1
back 2
base 1
be 1
been 1
before 2
beginning 1
begins 1
behind 1
being 1
big 1
black 1
bob 11
book 1
both 1
bounty 1
brought 1
bullet 1
buried 1
but 1
buying 1
by 2
calls 1
career 1
cares 1
carter 1
charismatic 1
child 1
close 1
closer 1
colonel 1
commanding 1
completing 1
corps 2
could 1
courage 1
daughter 1
day 2
dealing 1
death 1
decision 1
deep 1
defies 1
demonstrators 1
depression 1
discovers 2
donny 11
dual 1
due 1
early 1
ends 1
enough 1
equal 1
events 1
exciting 1
extremely 1
extremist 1
family 1
fateful 1
fenn 2
firefight 1
five 1
follow 1
for 4
four 1
friend 2
friends 1
from 2
front 1
funeral 1
game 1
getting 1
girlfriend 1
gives 1
go 1
going 1
group 3
gun 1
has 2
have 1
having 1
he 7
head 1
him 5
himself 1
his 12
home 2
horse 1
horseback 1
horses 1
in 9
inability 1
incidentally 1
into 3
intrigue 1
investigation 1
investigators 1
involved 1
is 14
it 1
joining 1
julie 2
just 1
kill 1
killed 4
last 2
late 1
leader 1
leave 1
led 1
lee 9
lie 1
lies 1
life 1
light 1
lines 1
makes 1
man 4
marine 3
marines 2
marry 1
may 1
meets 1
men 1
mistaken 1
money 1
more 1
morning 1
murder 1
named 1
naval 1
nearly 1
new 1
north 1
now 1
nva 1
of 11
off 1
officer 1
on 4
one 2
oneway 1
only 1
or 2
ordered 1
originally 1
out 3
outpost 1
overwhelmed 1
own 1
owns 1
paperwork 1
past 2
peace 1
perform 1
plot 3
plunges 1
possibly 1
present 2
properly 1
protestors 1
raging 1
ranch 2
rat 1
rather 1
reconnaissance 1
recuperates 1
rescue 1
ride 1
run 1
russian 1
scourge 1
second 1
secrets 1
send 1
services 1
set 1
shipped 1
short 1
shot 1
should 1
sizeable 1
slipping 1
sniper 3
solaratov 2
spend 1
spotter 1
squad 1
state 1
superiors 1
support 1
suspected 2
swagger 2
sympathies 1
sympathizing 1
tapestry 1
than 2
that 5
the 24
there 2
these 1
they 1
this 3
thought 1
ticket 1
ties 1
to 13
top 1
trig 3
turn 1
unravel 1
unravelling 1
up 1
vengeful 1
vietnam 3
vietnamese 1
violence 1
war 3
was 1
where 1
which 1
while 1
who 6
wife 4
will 1
with 8
world 2
years 2
young 1
