6164878
/m/0ftn16
/m/0ftn16
James Baldwin
1954
{"/m/05qp9": "Play"}
a 7
abandoned 1
addresses 1
africanamerican 2
after 3
ago 1
alexander 1
all 1
along 1
always 1
amen 1
an 4
and 13
apartment 1
arrival 1
as 3
based 1
believe 1
between 1
born 1
breakup 1
but 1
by 1
calling 1
childrenall 1
church 3
collapses 1
community 1
confrontations 1
confronted 1
congregation 4
conversation 1
convictions 1
corner 2
cost 1
count 1
david 3
deathbed 1
decides 1
declares 1
does 1
dwelling 1
dying 1
dysfunctional 1
effect 1
elders 1
escape 1
estranged 2
everyone 1
everyoneand 1
excuse 1
fact 1
family 3
father 1
fiery 1
finally 2
from 2
giving 1
had 3
harlem 1
has 1
have 2
he 3
her 14
him 1
his 4
home 1
husband 3
hypocritical 1
illness 1
important 1
in 5
information 1
informs 1
is 3
it 1
jazz 1
learn 1
leaving 1
led 1
left 2
life 2
long 1
lord 1
losing 1
love 3
loved 1
luke 4
margaret 8
margarets 1
morning 1
musician 1
name 1
nature 1
never 1
not 2
odessa 1
of 13
on 3
only 1
oust 1
own 1
pastor 1
perceive 1
perception 1
place 1
play 1
poverty 1
precipitates 1
prejudice 1
pursue 1
pursued 1
racial 1
realize 1
regarding 1
rejoice 1
religion 2
religious 2
role 1
ruined 1
sermon 1
settings 1
several 1
she 3
shortly 1
should 2
sister 1
son 5
struggles 1
suffer 1
sunday 1
takes 1
that 8
the 14
their 3
them 3
themes 1
thereafter 1
they 1
this 1
to 7
two 1
unexpected 1
unjustly 1
used 1
was 1
what 1
while 1
who 2
with 5
years 1
