21861
/m/05h8j
/m/05h8j
Neal Stephenson
1999
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10s 1
142 1
17 1
2702 2
a 6
action 1
allied 2
alternative 1
american 1
amy 1
an 1
and 7
aptly 1
are 1
arise 1
as 2
assigned 2
at 1
avi 1
be 1
behind 1
bobby 1
boom 1
breaker 1
british 1
build 1
bunker 1
by 1
cables 2
carrying 1
china 1
circa 1
code 2
companion 1
complications 1
corporation 1
cracked 1
creation 1
data 1
daughter 1
dengo 1
detachment 2
do 1
doug 1
dragons 1
dungeons 1
during 1
enemy 1
engineer 1
engineering 2
enigma 1
epiphyte 1
events 1
explanations 1
fact 1
fiberoptic 1
fictional 1
figures 1
filipinos 1
for 2
formed 1
friend 1
from 1
fund 1
furudenendu 1
genius 1
german 1
gold 1
goto 3
grandson 1
guadalcanal 1
halaby 1
has 1
haven 2
heirapparent 1
hide 1
his 2
in 7
including 1
income 1
intelligence 2
internet 1
is 3
japanese 1
joins 1
joint 1
kinakuta 1
late 1
lawrence 2
lines 1
literal 1
marine 1
mathematical 1
migrant 1
mining 1
mission 1
mountains 1
mysterious 1
named 1
navy 1
nearby 1
new 2
newly 1
of 5
often 1
old 2
on 1
or 1
out 2
overseen 1
part 1
past 1
periods 1
philippines 1
pinoygrams 1
place 1
plans 1
pritchard 1
provide 1
providing 1
randy 1
reappear 1
revenge 1
role 1
same 1
second 1
seeking 1
sergeant 1
serves 1
shaftoe 3
soldiers 1
stages 1
startup 1
stream 1
successes 1
suicide 1
sultanate 1
surveying 1
takes 1
that 2
the 19
this 2
time 1
to 7
turns 1
two 1
ultrasecret 1
undersea 1
unit 2
us 1
uses 1
veteran 2
via 1
vietnam 1
war 1
waterhouse 3
what 1
work 1
world 1
young 1
