174237
/m/017jbn
/m/017jbn
Frank Herbert
1968
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 11
accidentally 1
accidents 2
adding 1
additive 1
affairs 1
all 1
allowed 1
although 1
an 3
and 5
appearing 1
are 5
arent 1
arrow 1
as 1
at 2
average 1
become 1
bow 1
boy 1
business 1
businesses 1
but 1
by 2
car 1
cautiously 1
citizen 1
coffee 1
cognitive 1
collapses 1
college 1
commentary 1
commonly 1
communal 1
complicating 1
consume 1
consumer 1
conversations 1
convince 1
corporate 1
creates 1
danger 1
dasein 4
decide 1
died 1
diner 1
dinner 1
discovers 1
dont 1
down 1
drink 1
element 1
enlightened 1
enough 1
enters 1
exceptionally 1
expanded 1
far 1
feels 1
few 1
folksy 1
food 1
for 2
further 1
garage 1
gilbert 1
girlfriend 1
great 1
greater 1
group 1
has 2
have 1
having 1
he 2
health 1
hell 1
her 1
him 2
hints 1
hired 1
his 2
hostile 1
id 1
imbue 1
in 8
individual 1
ineffective 1
ingested 1
insecticide 1
instead 2
interests 1
investigate 1
is 2
it 2
jaspers 2
jenny 2
just 1
knowing 1
knowledgeably 1
lack 1
last 1
level 1
lifestyle 1
lift 1
live 1
local 1
long 1
lucid 1
maddeningly 1
marketing 1
matters 1
mind 3
minds 1
misses 1
more 1
narrow 1
neither 1
newspapers 1
numerous 1
of 4
offended 1
on 1
operating 1
outside 1
penetrating 1
perceptive 1
perfectly 2
plausible 2
playing 1
politics 1
psychic 1
psychologist 2
psychologists 1
psychology 1
quaint 1
quickly 2
rather 1
realizes 1
reference 1
releases 1
returned 1
santaroga 2
santarogans 1
science 1
seemingly 1
seems 2
selfsatisfied 1
sent 1
settle 1
shop 1
simply 1
soon 1
still 1
subconscious 1
subversive 1
sugar 1
than 2
that 5
the 8
their 4
theories 1
there 3
they 2
theyre 1
this 1
those 1
threatened 1
to 7
totally 1
town 2
tries 1
under 1
us 1
uses 1
vaguely 1
valley 1
waitress 1
where 1
whether 1
who 1
with 7
wither 1
wonders 1
wont 1
world 1
xenophobic 1
