23917480
/m/076v1pd
/m/076v1pd
Mary Wesley
1992
a 4
about 1
abroad 1
admit 1
an 1
and 13
antonia 2
are 1
arrival 1
at 2
attentive 1
attracted 1
back 1
barbara 2
be 1
beautiful 1
bedroom 2
begin 1
best 1
black 1
bored 1
bride 2
brings 1
but 1
by 1
comes 1
complete 1
cotteshaw 4
country 1
couples 2
died 1
divorce 1
does 1
during 1
endure 1
enjoys 1
especially 1
estate 1
every 1
everyone 2
eye 1
fancies 1
fascinated 1
father 2
fifteen 1
first 1
for 1
frequently 1
frightened 1
from 1
give 1
guests 1
has 2
he 1
head 1
heir 1
henry 5
her 7
him 2
his 7
host 2
however 1
husband 2
ii 1
in 3
indulgence 1
inflicting 1
into 1
is 5
it 1
james 1
keep 1
kindness 1
ladies 1
life 1
lifting 1
likes 1
mad 1
make 1
malicious 1
march 1
margaret 3
married 1
matthew 1
means 1
mysterious 1
nature 1
nauseating 1
need 1
of 4
older 1
on 2
over 1
pain 1
part 1
perfect 1
pillow 1
preferably 1
range 1
reacts 1
refuses 1
request 1
reside 1
rest 1
returning 1
she 2
stationed 1
stories 1
stranger 1
superiority 1
that 1
the 13
their 2
thing 1
throughout 1
tillotson 4
time 1
to 13
tries 1
two 3
unwilling 1
up 1
upstairs 1
visit 1
visits 1
war 2
west 1
when 1
where 1
while 2
who 2
wife 2
will 2
with 3
without 2
word 1
world 1
years 2
young 2
