3112773
/m/08s699
/m/08s699
Harry Harrison
1967
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1 3
11th 1
181 1
1st 1
2 1
5 1
a 41
about 6
accident 1
action 1
actions 2
actors 1
actual 1
actually 1
adaption 1
advice 1
after 2
aims 1
all 6
along 1
also 3
an 3
ancestor 1
and 22
another 1
any 1
are 2
arrival 1
arriving 1
as 7
assured 1
at 1
attack 2
auditors 1
axes 1
baby 1
back 2
bandage 1
bandaged 1
bank 1
barney 14
barren 1
bbc 1
be 3
beach 1
beacon 1
beads 1
because 4
become 1
been 1
before 1
begin 1
behind 1
big 1
bill 1
bjarni 1
blood 1
boat 1
book 1
books 2
born 1
bottle 1
bottles 1
breaks 1
broadcast 1
brought 1
build 1
burning 1
business 1
but 4
by 8
call 1
called 1
cameras 1
can 3
capture 1
carrying 1
casts 1
catalina 1
century 2
chang 1
changed 1
character 2
characters 1
charley 1
chineseamerican 1
christ 1
cigar 1
circuitry 1
city 1
claims 1
clear 1
climactic 2
colonising 1
colonists 1
colony 2
columbus 3
comic 1
company 1
complete 1
completed 1
confidence 1
consequence 1
continue 1
convinced 1
cooked 1
copy 1
corporation 1
couldnt 1
counterpart 1
country 1
cover 1
crew 3
crucifixion 1
cuban 1
curious 1
cut 1
daniel 1
danish 2
day 3
days 1
decided 1
demands 1
demonstration 1
departing 1
desperately 2
desperation 1
device 1
did 1
digs 1
discover 1
do 3
done 1
down 1
downcast 1
dr 1
drags 1
dub 1
during 1
edit 1
employer 1
emptyhanded 1
encounter 1
end 1
ends 1
english 1
enough 1
entered 1
entire 1
equipment 1
escapes 1
even 2
everything 2
example 1
expedition 1
explains 1
extras 1
fact 1
few 2
figure 1
filled 2
film 6
filming 2
final 2
finance 1
finish 1
finished 1
first 2
flash 1
following 1
for 8
forever 1
formal 1
forward 1
found 1
founded 1
founding 2
friends 1
from 2
future 4
galactic 1
gas 1
gets 1
give 1
go 2
goddess 1
going 1
gordon 1
grandfather 2
greenspan 7
gudrid 1
guide 1
had 2
half 1
hand 3
handful 1
happened 1
harrisons 1
has 5
have 3
hawk 1
he 12
heeds 1
heman 1
hendrickson 2
her 2
herjlfsson 1
hero 1
hewitt 4
him 2
himself 2
hip 1
his 8
historical 2
history 1
hit 1
hits 1
hollywood 1
homage 1
hopefully 1
horrified 1
horror 1
horse 1
hours 1
however 1
huge 1
icelanders 1
idea 1
ie 1
important 1
improvising 1
in 25
indeed 1
injured 1
interpreter 1
into 5
is 18
island 1
it 3
itself 1
jack 1
jens 1
jesus 1
judea 1
jump 1
jumps 1
karlsefni 2
kill 1
kind 1
known 1
l 2
land 1
later 1
lead 1
learn 1
leaving 1
led 1
left 2
like 1
lines 1
linguist 1
lived 1
local 2
location 1
long 1
longrunning 1
look 1
looted 1
lost 2
lyn 1
m 2
machine 4
mad 1
make 3
many 2
marauders 1
mass 1
maximum 1
me 1
means 1
mediocre 1
mention 1
mercurochrome 1
mess 1
minimal 1
moment 1
month 1
months 1
most 1
mother 1
move 1
movie 6
moviemaker 1
much 1
must 1
name 3
named 2
narcissistic 1
nasty 1
natives 1
necessary 1
newfoundland 1
night 1
no 4
norse 1
not 4
novel 3
obtained 1
of 22
office 2
on 5
one 1
only 3
order 1
orkney 1
other 2
ottar 9
out 4
over 2
overhearing 1
owner 1
paid 1
paradox 1
part 1
participate 1
particularly 1
parts 1
past 9
people 2
placename 1
planning 1
play 1
plot 1
point 1
pours 1
precambrian 1
present 5
presents 1
probably 2
process 1
produce 1
produced 1
prof 1
professor 1
prospects 1
puzzle 1
radio 2
readers 1
real 1
realize 1
realizes 1
reassures 1
recruited 1
references 1
refuses 1
remains 1
repair 1
repelled 1
replacement 1
resolution 1
resolves 1
restricted 1
return 2
returns 1
reveals 1
roll 1
ruf 2
sagas 2
sail 1
saturday 1
say 1
scenes 1
scientist 1
script 1
scriptwriter 1
second 1
seconds 1
see 1
seems 1
sending 2
sends 1
september 1
series 1
set 1
setting 1
settlement 2
settlers 1
several 1
sex 1
she 2
shit 1
shocked 1
shooting 1
shortly 1
shot 2
sign 1
skraelings 2
slithey 3
sliver 1
smash 1
smitten 1
snored 1
snorey 1
snorri 1
so 1
son 2
sound 1
soundtrack 1
spoken 1
sporting 1
stage 1
stars 1
stay 2
still 1
stockade 1
stopped 1
storhestelortby 1
studios 1
surprise 1
systematically 1
takes 1
taking 1
talk 1
tear 1
that 10
the 73
theatre 1
their 3
then 6
there 2
they 9
thinks 1
this 3
thorfinn 2
thorfinnsson 1
three 1
time 8
to 31
tove 1
tracking 1
tries 1
trip 1
triumphant 1
turns 1
under 1
until 1
up 1
use 1
used 1
version 1
via 1
viking 5
vikings 2
vinland 4
visitor 1
waiting 1
walk 1
walks 1
wampum 1
was 5
way 1
went 1
what 2
when 1
where 1
which 4
while 4
who 2
whom 2
whose 1
will 4
with 13
wonder 1
wood 1
work 1
wouldnt 1
wrote 1
year 1
you 2
your 1
