22523507
/m/05z_598
/m/05z_598
Edith Pargeter
1980
{"/m/02n4kr": "Mystery"}
1138 1
a 25
abbey 22
abbot 5
abeyance 1
abound 1
about 2
absent 1
aches 1
active 1
actually 2
added 1
admits 1
aelfric 1
after 7
again 1
age 2
aged 1
agreement 3
aid 1
ailing 1
alarm 1
aldith 3
all 1
allows 2
alone 2
also 2
alters 1
although 4
ambitious 1
an 4
and 32
announces 1
another 1
any 4
anyone 1
ap 1
apparent 2
appears 3
appointed 2
apprenticed 1
are 2
armed 1
around 3
arrives 1
as 9
asks 2
assistant 1
assuming 1
at 14
ate 2
attacked 1
attend 2
attends 1
authorities 2
authority 2
autumn 1
awaiting 1
aware 1
away 2
barn 1
barns 1
be 7
bears 1
become 1
been 2
before 6
believe 1
bellecote 3
belonging 1
benefit 1
beringar 4
betrays 1
betrothed 1
bonel 23
book 1
bottle 5
bound 1
briefly 1
brother 14
bursts 1
business 2
but 9
by 9
cadfael 31
can 3
cannot 2
capable 1
captured 1
carpenter 1
carried 1
carry 1
carrying 1
carved 1
castle 2
caught 1
ceded 1
challenges 1
chance 2
chapter 1
charge 1
chase 1
choice 1
claim 2
clerk 1
code 1
come 1
comfort 2
commote 1
completed 3
comply 1
conceals 1
confesses 1
confession 1
confide 1
confirmed 1
contact 1
content 1
convicted 1
corpse 1
could 1
council 2
court 4
craftsman 1
crusade 1
custody 1
customs 1
dagger 1
dangerous 1
dashes 1
daughter 1
day 4
days 2
dda 1
death 1
departing 1
deprived 1
deputy 1
described 1
did 2
died 2
discovered 1
discoveries 1
discovers 1
disguises 1
dish 1
dishes 1
display 1
distant 1
distracted 2
distress 2
district 1
does 4
doing 1
door 1
eagerly 1
earlier 1
early 1
ease 2
eaten 1
eating 1
eavesdropping 1
edmund 2
edwin 18
edwy 3
effects 1
end 2
equally 1
errand 1
escape 1
escaped 1
establishes 1
estate 4
even 3
eyes 1
failed 1
fallen 1
falls 1
family 1
far 1
fatal 1
father 1
find 4
finds 3
first 2
flees 2
followed 1
for 11
forbids 1
former 2
found 1
frantic 1
free 1
friend 1
from 7
further 2
gain 1
gervase 1
gift 3
give 1
goes 1
good 2
granted 1
greetings 1
grounds 1
grudge 1
guilt 1
gurney 2
habit 1
had 6
half 1
hand 1
hanged 1
has 14
have 4
having 2
he 34
heard 1
heir 2
held 1
help 1
her 4
herbs 1
heribert 5
herself 1
hiding 1
him 12
himself 1
his 24
hopes 1
horseback 1
horses 1
house 7
household 1
how 1
however 1
hugh 3
humble 1
hywel 1
ifor 1
ill 3
illegitimate 2
immediately 2
in 29
indeed 1
infirmarer 1
infirmary 4
informally 1
ingest 1
ingredient 1
inherit 3
innocence 2
innocent 1
instead 2
intended 2
intervenes 1
into 5
introducing 1
investigates 2
is 24
issue 1
it 11
its 2
jerome 2
just 1
kinfolk 1
kitchen 2
knew 1
knife 1
know 2
last 2
lasting 1
late 3
later 1
law 3
lawful 1
lays 1
leak 1
leave 2
left 2
legal 1
legatine 2
lies 1
life 1
live 1
llansilin 1
local 1
location 1
long 1
longer 1
lord 1
made 2
maid 1
maidservant 1
make 1
mallilie 8
manor 4
manorial 1
many 4
mark 4
marriage 1
martin 2
master 1
may 1
meal 1
medicines 1
meet 1
meurig 12
middle 1
might 1
minute 1
momentarily 1
moments 1
monk 1
monks 2
monkshood 2
morgan 1
morning 2
mother 1
motive 2
motives 1
much 2
murder 4
murdered 1
murderer 1
murdering 1
muscular 1
must 1
nature 1
near 2
needs 1
nephew 1
never 1
new 2
next 3
night 2
no 4
not 9
now 1
obedience 1
of 33
offer 1
often 1
oil 6
on 7
once 1
one 6
only 2
opportunity 1
or 6
other 2
out 3
outside 1
overheard 1
overriding 1
pains 1
parole 1
part 1
partridge 6
paternity 1
paying 1
penance 1
people 2
plain 1
planned 1
poison 1
poisoned 2
poisoning 1
position 1
possibility 1
possible 1
pouch 1
precincts 1
present 2
presumably 1
pretending 1
previously 1
prior 7
problems 1
proceeds 1
produces 1
producing 1
proof 1
property 1
prove 2
provided 1
proving 1
purloined 1
purse 1
pursuers 1
put 1
quarrel 2
questions 3
quickly 1
radulfus 1
reach 1
realises 2
recognises 1
recovering 1
refers 1
refuge 1
refuses 1
rekindle 1
relation 1
relations 1
relationship 2
relationships 1
reliquary 2
remain 1
remains 1
remote 1
replies 1
report 2
reported 1
retirement 1
return 3
returned 2
returns 2
revenge 1
rhydycroesau 3
rhys 4
richildis 9
river 3
roasted 1
robert 7
rubbing 2
same 1
sanctimonious 1
sauce 2
say 2
says 1
scented 1
sceptical 1
scrip 1
search 3
searching 1
seen 1
seizes 1
send 2
sends 3
separately 1
sergeant 4
servant 1
servants 1
served 1
set 1
severn 1
shaken 1
sheepfold 1
sheriff 1
should 1
shrewsbury 10
sick 1
since 2
skilled 1
small 3
smugly 1
so 1
some 3
someone 1
son 6
soon 2
source 1
spiritual 1
stating 1
status 1
steward 1
still 1
stolen 1
stormed 1
strongly 1
succeeding 1
suggests 1
summoned 2
surviving 1
suspended 1
suspicion 1
sword 1
sybil 3
take 1
taken 2
takes 2
tells 1
terms 1
that 21
the 103
their 3
then 4
there 1
this 1
though 1
threw 3
throw 1
thrown 1
time 1
to 69
too 2
towards 1
transaction 1
treat 1
tries 1
try 1
tumultuous 1
under 3
unlikely 1
unobtrusively 1
unpopular 1
unsubtle 1
urging 1
used 3
vaughan 1
villein 1
visits 2
vow 1
waiting 1
wales 3
warden 9
warned 1
was 15
welsh 3
went 1
what 1
when 3
where 2
whether 1
which 8
while 3
who 7
whom 1
widow 2
widowed 1
wife 1
will 5
window 1
winter 1
with 9
within 3
without 1
wolfsbane 1
wooden 1
word 2
workshop 2
would 2
written 1
year 2
years 1
youthful 1
