6199490
/m/0fwd6q
/m/0fwd6q
Bennett Madison

{"/m/03mfnf": "Young adult literature"}
a 5
after 1
and 4
are 1
as 1
at 2
attitude 1
become 1
believes 1
best 1
but 1
charlie 1
club 1
clues 1
daisy 1
dark 1
detectives 1
did 1
do 1
drew 1
dumb 1
end 1
entangled 1
eye 1
fake 1
fashion 1
for 1
friends 1
get 1
gets 1
girl 2
girlsleuth 1
handbag 1
happened 1
has 1
help 1
her 3
however 1
identities 1
in 2
is 1
it 3
kate 1
keen 1
lulu 3
manages 1
mistaken 1
more 1
murder 1
must 1
mystery 1
nancy 1
not 1
of 2
one 1
only 1
realize 1
retrieve 1
sense 1
she 2
sixteenyearold 1
solves 1
spade 1
stolen 1
style 1
such 1
than 1
that 2
the 2
thinks 1
to 2
who 1
with 2
would 1
