1329593
/m/04t7qm
/m/04t7qm
Frank Herbert
1966
1 1
1011 1
12 2
13 1
14 2
15 1
15000 1
16 1
17 1
18 1
20 1
5 1
6 1
7 1
8 1
a 28
abducted 1
able 1
about 1
abruptly 1
accepted 1
accepts 1
active 1
activity 1
adamant 1
agent 1
agents 1
agitated 1
ahead 1
aided 1
all 3
allgood 4
always 1
amiss 1
an 3
and 29
another 1
apathetic 1
are 8
area 1
areas 1
arrested 1
arrive 2
arrives 1
as 3
asks 1
assembly 1
asserts 1
at 3
audience 1
awakening 1
away 1
baby 1
badly 2
battle 1
be 7
becoming 1
been 1
before 1
begin 1
behavior 1
beneficial 1
beneficially 1
biological 1
block 1
blown 1
both 2
boumard 5
briefly 1
brought 3
but 3
by 9
cabin 1
calapine 7
calm 1
cannot 1
care 1
causing 1
ch 14
chafe 1
changes 1
checkpoint 1
child 1
chs 1
code 1
collusion 1
combat 1
combination 1
communicating 1
concludes 1
contempt 1
converses 1
convince 1
counsel 2
courier 1
cover 1
cries 1
cut 2
cutting 3
cyborg 6
cyborgization 1
cyborgs 3
day 1
debate 1
decide 3
decimating 1
delicate 1
deliver 1
descend 1
destabilize 1
destination 2
destroy 1
destroyed 1
destruction 1
detected 1
detects 1
died 2
disarm 1
discover 1
discovering 1
discuss 1
display 1
do 2
doctor 1
does 2
domineering 1
down 1
driven 1
durant 4
durants 4
during 1
early 1
embryo 6
emotional 1
emotions 1
enraged 1
enzyme 1
equilibrium 1
escort 1
escorted 1
evacuate 1
even 1
event 1
events 1
external 1
failing 1
faint 1
faith 1
fashion 1
feel 1
fertility 1
field 1
find 2
finding 1
finds 1
firsthand 1
flirts 1
folk 2
for 6
force 1
forces 2
forest 1
former 2
free 1
frightened 1
from 2
full 2
fumbles 1
gagged 1
gas 1
genetics 1
genocidally 1
giving 1
glisson 6
gloating 1
god 1
gone 1
greater 2
growing 1
grows 1
guarded 1
had 1
hall 2
harvey 3
has 5
have 4
he 9
help 1
her 1
hiding 1
highranking 1
him 7
himself 2
his 1
hoping 1
hospital 1
house 1
hovertruck 1
if 3
igan 6
imbalance 1
immobilized 1
immortality 2
implants 1
in 18
including 1
infection 1
informs 1
insanity 1
insist 1
instability 1
instead 1
instruments 1
insubordinate 1
intelligence 1
intercepted 1
interfered 1
interfering 1
interrogated 1
interrogation 2
into 3
introduce 1
investigating 1
involvement 1
is 14
it 3
its 1
keep 1
kept 1
killed 2
killing 1
kills 1
later 1
least 1
life 1
lifespan 1
live 2
lizbeth 1
longevity 1
longunfamiliar 1
lowranking 1
magnanimity 1
make 1
manner 1
many 1
max 3
meet 2
megalopolis 1
menace 1
millennia 1
mind 1
mock 1
mockery 1
monitoring 1
more 1
moved 1
mutations 1
natural 1
near 1
new 1
nose 1
not 3
note 1
notice 1
nourse 2
novel 1
nurse 1
nurses 1
obligated 1
observe 1
occupants 2
odd 2
oddly 1
of 36
off 1
offer 1
offers 1
offstage 1
on 4
one 3
onthespot 1
operation 1
optiman 1
optimen 10
optimism 1
order 1
orders 1
ossification 1
other 1
out 6
over 1
perform 1
pernicious 1
plans 1
playfully 1
ploy 1
plus 1
poison 1
potter 6
power 2
prisoners 6
procedure 2
proceeds 1
process 1
proposed 1
prospect 1
purge 1
pursuers 1
put 1
qualities 1
question 1
quo 1
ramshackle 1
reach 1
reactions 1
reader 1
recalcitrant 1
receives 1
record 1
recruit 1
reintroducing 1
releases 1
reminding 1
remotely 1
rendered 1
report 1
require 1
resistance 3
revealed 3
revealing 1
right 1
room 1
run 1
sabotages 1
safehouse 2
scale 1
scans 1
scheme 1
schruille 3
seatac 7
secretly 1
security 2
sedate 1
seen 1
semibemused 1
semihysterical 1
sends 1
seniority 1
sensations 1
service 1
several 1
shaken 1
she 1
shocked 1
should 1
silent 1
skip 1
so 1
solid 1
solution 1
something 1
sonic 1
speculate 1
spiraling 1
spirited 1
spreads 1
stabilize 1
stages 1
stampede 1
starting 1
status 1
stay 1
stimulated 1
strange 1
streets 1
subordinates 1
suddenly 1
superior 1
surgeon 1
surprised 2
surround 1
surveillance 1
suspect 1
suspicious 1
svengaard 12
tachysecurity 2
tells 1
that 11
the 82
their 12
them 10
themselves 4
they 10
thinks 1
thrill 1
through 2
to 32
traced 1
treatment 1
tries 2
truck 2
trust 1
trusted 1
try 1
tuyere 8
unconscious 1
under 5
undercurrent 1
unfeeling 1
unheardof 1
unstable 1
until 1
unwilling 1
vat 1
verging 1
viability 1
violence 3
vocation 1
wants 1
was 1
watch 1
way 1
weapons 1
what 1
when 1
where 1
which 1
while 1
who 2
wide 1
will 1
wipe 1
wiping 1
wisdom 1
with 9
without 1
witness 1
won 1
wonder 1
years 1
