4118412
/m/0bk2wd
/m/0bk2wd
Piers Anthony
1983-10
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
8yearold 1
a 7
accidentally 2
across 1
against 1
age 1
all 1
also 1
and 10
anything 1
as 2
asofyet 1
baby 1
becomes 1
beginning 1
begins 2
being 1
bink 1
book 2
braver 1
burrowing 1
but 1
by 1
castle 1
caused 1
causes 1
causing 1
characters 1
chasm 2
comes 1
confusion 1
daughter 1
deamon 1
disintegrate 1
does 2
dor 1
douse 1
dragon 4
due 2
end 1
ends 1
enhance 1
enhancement 1
escape 1
everyone 1
everything 1
exception 1
existed 1
filling 1
find 1
forces 1
forest 1
forget 5
forgot 1
fountain 1
from 1
gap 4
get 1
goblins 1
good 1
harpies 1
has 1
he 1
her 3
him 2
his 1
home 1
horde 1
how 1
huge 1
hugo 5
humfrey 2
humpfrey 3
in 4
into 3
irene 1
is 2
it 2
ivy 4
join 1
live 1
loss 1
luckily 1
magic 1
magician 1
manages 1
memory 1
na 1
names 1
near 2
nearby 1
no 1
novel 1
of 10
off 2
on 1
path 1
people 1
piedestale 1
plsmok 1
positive 1
princess 1
put 1
qualities 1
queen 1
quest 1
realizes 1
regresses 1
released 1
result 1
rift 1
roogna 1
run 1
she 1
smarter 1
so 1
son 2
spell 2
spinning 1
splits 1
sprays 1
stanley 1
steamer 1
stronger 1
swarm 1
talent 1
tells 2
temporarily 1
that 2
the 24
their 1
this 1
threaten 1
through 2
time 1
to 10
trying 1
two 1
unknown 1
up 1
vial 1
walking 1
wandered 1
water 2
welfare 1
well 1
when 3
which 1
while 2
whirl 1
who 1
whorls 1
wiggles 1
with 4
xanth 3
youth 1
