155592
/m/014cyj
/m/014cyj
Émile Zola
1876
{"/m/05hgj": "Novel"}
1857 1
1858 1
1862 1
a 7
able 1
about 1
accepted 2
act 1
actions 1
adversaries 1
adversary 1
after 1
against 1
agriculture 1
all 3
ally 1
ambition 1
an 5
and 12
antiimperialists 1
any 1
appointment 1
appointments 1
are 2
as 11
assassination 1
at 5
attempt 1
authority 1
background 1
balbi 1
based 1
be 4
because 2
been 1
before 1
begin 1
behind 1
being 1
believes 1
both 1
but 3
by 1
can 2
career 1
center 1
circle 1
claim 2
clorinde 3
clorindes 1
commerce 1
commissions 1
confident 1
conflict 2
consequence 1
consequences 1
consider 1
control 1
corps 1
cost 1
counting 1
country 1
cronies 1
crush 1
curtail 1
decides 2
delestang 3
deport 1
desert 1
desires 1
despite 1
destroy 1
devious 1
disastrous 1
dismissed 1
do 1
does 1
dominant 1
done 3
dreams 1
dubious 1
each 1
easily 1
ebb 1
either 1
emperor 7
empress 1
encourages 1
ends 1
enough 2
eventually 1
expands 1
favors 2
feel 1
for 2
forced 1
founded 1
free 1
friends 2
from 1
fulfilling 1
given 1
giving 1
good 1
great 2
greatest 2
grown 1
had 1
hand 2
has 10
have 2
having 1
he 7
help 1
her 3
hers 1
highest 1
him 5
himself 1
hinder 1
his 13
honors 1
however 2
hundreds 1
imperialistic 1
implication 1
in 8
incident 1
including 1
inevitably 1
influence 3
inheritance 1
inner 1
instead 1
intent 1
interior 2
international 1
involved 1
involving 1
is 11
it 3
italian 2
learns 1
less 1
level 1
lgislatif 1
liberal 1
limbo 1
lines 1
low 1
loyal 1
m 1
made 3
maintain 1
makes 1
man 1
marry 3
meant 1
minister 5
mistress 1
more 1
moreover 1
much 1
national 1
no 1
nonentity 1
not 4
nothing 1
novel 2
now 1
of 13
on 5
opens 1
opportunity 1
opposition 2
or 1
orsini 1
ostensibly 1
other 1
over 2
peace 1
personal 3
personalities 1
plans 1
plot 1
political 4
portfolio 1
position 1
power 4
powers 1
premier 1
press 1
punish 2
puts 1
reality 1
reconfigure 1
refusal 1
refuses 1
reinstated 1
relative 1
requests 1
resignation 1
resigns 1
resistance 1
respectable 1
returned 1
reward 1
rougon 14
scale 1
scandals 1
scenes 1
security 1
service 1
several 1
she 4
shown 1
silence 1
so 2
submit 1
such 1
takes 1
that 3
the 28
their 1
them 1
they 4
this 3
through 1
to 20
two 1
ungrateful 1
unification 1
unprecedented 1
until 1
upper 1
uses 1
various 1
wake 1
wealth 1
what 1
wheedled 1
while 1
who 2
wife 1
will 2
win 1
with 4
without 1
woman 2
work 1
would 1
