11311051
/m/02r78cx
/m/02r78cx
Jennifer Allison
2006
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 6
accident 1
after 1
ago 1
although 1
an 1
and 6
approaches 1
are 1
attend 1
away 1
barkley 1
be 1
blindfolded 1
boyfriend 1
brad 1
breaks 1
catholic 1
ceremony 1
citizens 1
club 1
connect 1
cracked 1
danielle 1
depths 1
discovers 2
dolores 6
downfall 1
drowned 2
drowning 2
earns 1
eavesdropping 1
eve 1
even 1
eventually 2
failing 1
few 1
find 1
for 3
from 1
get 1
gilda 6
girl 1
girls 2
grades 1
grimaldi 1
had 2
happenings 1
have 1
having 1
her 5
high 1
house 1
however 1
ice 1
if 1
implied 1
in 4
initiation 1
intentionally 1
into 2
investigates 2
investigator 1
involved 1
is 2
it 3
joyce 2
kicked 1
ladies 2
lady 1
lake 5
lambert 1
made 1
members 1
menory 1
might 1
most 1
mother 1
murder 1
mysterious 1
named 1
near 1
nikki 1
not 1
novel 1
of 10
on 3
only 1
onto 1
or 1
our 2
out 1
overlapping 1
people 1
places 1
priscilla 1
private 1
prized 1
psychic 1
punished 1
pushed 1
revealing 1
ruins 1
say 1
scholarship 2
school 3
secret 2
seems 1
selfproclaimed 1
she 5
sheet 1
sneaking 1
society 1
some 1
someone 1
sorrows 2
supposed 1
suspects 1
taken 1
thanksgiving 1
that 9
the 19
they 1
this 1
three 1
to 8
truth 1
trying 1
up 1
walk 1
walked 1
was 5
way 1
went 1
were 2
when 1
where 1
while 1
with 2
years 1
