2838088
/m/085yx9
/m/085yx9
Kevin Guilfoile
2005-03-01
a 4
america 1
and 2
around 1
at 1
based 1
been 1
book 1
boy 2
brutally 1
called 1
chicagobased 1
clone 2
cloning 2
daughter 2
davis 1
dna 1
doctor 2
enable 1
find 1
finn 1
follows 1
future 1
glimpse 1
has 1
him 3
his 2
hoping 1
identity 1
in 2
into 1
is 4
it 1
justin 1
killed 1
killer 1
legalised 1
life 1
moore 2
murderer 2
near 1
of 4
offer 1
perhaps 1
plot 1
psyche 1
raped 1
resulting 1
set 1
states 1
that 1
the 11
throughout 1
time 1
to 2
united 1
uses 1
when 1
which 1
whose 1
will 1
