2363024
/m/076nfp
/m/076nfp
Beverly Cleary

14 1
a 7
abandoned 1
about 1
after 1
age 1
also 1
and 5
as 1
at 1
barry 4
beach 1
because 1
botts 2
care 1
causes 1
children 1
crush 1
custody 3
dear 1
decide 1
desperate 1
develops 1
diary 1
divorce 1
divorced 1
does 1
dog 3
end 1
enough 1
experiences 1
feeling 1
finally 1
find 1
finds 1
for 1
friend 1
geneva 2
girl 2
goes 1
good 1
grown 1
haired 1
has 1
he 2
henshaw 1
himself 1
his 4
however 1
in 2
is 1
join 1
leigh 6
lot 1
loves 1
mr 1
named 3
not 1
of 6
on 3
parent 1
parents 1
place 1
red 1
run 1
running 1
same 1
school 1
seem 1
share 2
strider 6
take 1
takes 1
taking 1
team 1
that 1
the 4
their 1
time 1
to 4
track 1
trouble 1
two 1
up 1
way 1
well 1
which 1
who 1
winds 1
with 1
writes 1
years 1
