2516929
/m/07kb1g
/m/07kb1g
Arturo Pérez-Reverte
1993
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction"}
1666 1
a 36
about 4
accepts 1
achille 1
acquire 2
acquired 1
acquiring 1
actually 1
adler 2
after 3
afterward 1
again 2
against 1
aged 1
alerts 1
all 4
alone 1
along 2
also 2
although 1
amilcar 1
an 10
analog 1
analyses 1
and 55
angel 2
anjou 5
annual 1
anonymous 1
antagonist 1
antique 2
any 1
apparently 2
appearance 2
appearing 1
appears 1
are 6
aristide 1
arrange 1
arrives 3
arsons 1
artist 1
as 10
asks 1
assaulted 1
assaults 1
assignment 1
assuming 1
at 7
attachment 1
attempts 1
authenticity 1
author 1
awakes 1
awry 1
back 4
backpacker 1
balkan 4
banquet 1
baroness 4
be 3
beautiful 1
been 3
before 1
behind 1
believes 1
bibliophile 1
bit 2
book 22
bookcollector 1
bookdealer 1
books 3
boris 1
borja 13
brief 1
brothers 2
burglary 1
burned 1
burnt 1
but 1
buyers 1
by 10
caf 1
cafe 1
called 2
calls 2
captions 1
cardinal 1
castle 2
ceniza 2
chagrin 1
chapter 1
character 1
characters 1
club 1
collection 2
collector 1
compare 1
compares 2
complete 1
completely 2
concierge 1
confirms 1
confront 2
confused 1
conspiracies 1
contains 1
controls 1
copies 4
copy 7
corrupt 1
corso 49
cost 1
could 1
curious 1
dartagnan 1
day 1
dead 1
deal 1
dealers 1
deduces 1
describes 1
deserve 1
determines 1
devil 3
difference 1
differences 2
discourses 1
discovering 1
discuss 3
dismantled 1
does 1
doors 8
drinks 1
drive 1
driving 1
drowned 1
dumas 5
each 1
earth 1
eccentric 1
editions 1
effort 1
elaborate 1
employer 1
empty 1
emulating 1
ending 1
enemy 1
enrique 2
enthusiasts 1
escaped 1
europe 1
events 1
ever 1
executes 1
existence 1
expenses 1
experts 1
explains 1
explicitly 1
eyes 1
fall 1
fallen 2
family 1
famous 1
fargas 7
feature 1
fellow 1
few 1
find 5
fire 1
fireplace 1
flavio 1
flirt 1
follow 1
food 1
for 9
forgeries 1
forgers 1
forgery 2
formerly 1
formula 1
foundation 1
fountain 1
frida 1
friend 2
from 2
furniture 1
gain 1
genuine 1
get 1
getting 1
girl 10
given 1
gives 1
giving 2
god 1
goes 3
gone 1
great 1
green 1
group 1
growing 1
gruber 2
gunpoint 1
habits 1
has 8
having 1
he 11
heaven 1
henchman 1
her 10
herself 2
hilltop 1
him 6
his 19
history 3
holds 1
holmes 1
home 3
hotel 7
husband 1
identifies 1
identity 1
illustrations 4
immediately 1
implies 1
in 38
includes 1
including 3
indeed 1
initials 1
inquisition 1
insane 1
intelligent 1
introduces 1
invited 1
irene 2
is 24
it 3
its 1
jaguar 1
killed 1
knocks 1
knowledge 1
known 1
knows 2
la 10
largest 1
last 2
late 1
later 1
learn 1
leave 1
leaves 1
lecture 2
left 1
legitimate 2
lf 2
liaison 1
liana 11
library 4
life 1
lisbon 2
listening 1
literary 1
lives 1
locates 1
location 1
love 1
lucas 2
lucifer 1
lucrative 1
made 1
madrid 1
make 1
makes 1
making 1
man 3
manipulative 1
mansion 2
manuscript 7
matter 1
means 1
meet 1
meets 6
mercenary 1
methodology 1
methods 1
meung 1
might 1
milady 4
mismatched 1
missing 1
most 2
motives 1
murders 1
musketeers 6
must 1
mysteriously 1
mystery 1
name 2
named 1
narrator 1
necessary 1
needed 1
news 1
next 1
night 2
nine 9
no 2
none 1
notes 1
nothing 1
notices 1
novel 1
now 2
obsessive 1
obtain 1
occasional 1
occult 4
odd 1
of 51
on 7
one 5
ones 1
only 3
opinion 1
original 1
other 3
out 2
outside 1
overlooking 1
own 2
owner 3
owns 1
paid 1
parallels 1
paris 2
part 2
party 1
pay 1
perpetrator 1
personal 1
phone 1
pinto 1
place 2
plates 3
playfully 1
playing 1
plot 1
point 1
policeman 1
ponte 10
possession 1
possibly 1
presence 1
pretend 1
previous 1
previously 1
prezreverte 1
printed 1
prints 1
prior 1
private 1
probable 1
prominent 1
properly 1
property 1
protagonist 1
purportedly 1
rare 3
reader 1
realizes 1
realizing 1
rebelled 1
refers 1
remaining 1
repelled 1
replinger 1
research 2
rest 1
restaurant 1
restoration 1
return 1
returns 1
revealed 1
richelieu 4
ritual 2
rochefort 10
room 2
scar 3
second 1
seduce 1
see 1
seems 1
sees 1
selfreference 1
seller 1
selling 1
sends 1
set 2
sets 1
setting 1
she 8
sherlock 1
showing 1
shows 1
signature 1
signed 2
since 1
sinister 2
sintra 1
skeptical 1
sleeps 1
slight 1
so 2
social 1
some 1
soon 1
spain 1
specializes 1
stake 1
stay 1
staying 1
stories 1
story 1
striking 1
subsequently 1
successful 1
successfully 1
suicide 1
summon 1
summoning 1
summons 1
surrounding 1
symbolism 1
taillefer 7
taken 1
takes 2
talk 2
taxes 1
tells 1
that 12
the 121
their 1
them 2
then 4
they 13
third 2
this 4
three 8
time 1
to 36
toledo 1
torchia 3
train 1
translates 1
treated 1
turn 1
twenties 1
two 4
unconscious 1
ungern 5
unhappy 1
unknown 1
unrelated 1
unseen 1
used 1
valuable 1
variants 1
varo 2
vast 1
verifies 1
very 4
victor 1
village 1
villains 1
visit 2
visits 8
walk 1
wandered 1
war 1
was 3
way 4
wealthy 1
what 1
where 3
which 2
while 2
who 10
whom 2
widow 2
will 1
wine 5
with 15
without 1
witness 1
woman 1
worldclass 1
writing 1
written 1
young 1
