523853
/m/02lbzp
/m/02lbzp
Marge Piercy
1991
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1600 1
205 1
a 20
able 2
accident 1
accompanied 2
acquire 1
activities 1
affluent 1
against 1
agrees 2
alive 1
all 1
allows 1
also 1
america 1
an 4
ancestor 1
and 20
another 1
appearance 1
are 5
ari 2
around 1
artificial 1
as 4
asking 1
at 1
attack 2
attacked 1
autonomous 1
avram 5
back 2
banishment 1
base 1
be 2
becomes 1
been 3
begins 1
biotechnological 1
biotechnologically 1
both 2
build 1
but 1
by 8
called 1
calms 1
cause 1
characteristics 1
chava 1
childhood 1
chimeara 1
christian 1
city 2
clay 2
climate 1
comes 1
communication 1
community 1
completed 1
concerning 2
conspiracy 1
contact 1
copies 1
create 1
created 1
creating 1
creation 1
custody 2
cyberspace 1
cyborg 4
deal 1
deals 1
decide 1
delegation 1
demands 1
depicts 1
destroy 1
destroyed 2
destroys 1
die 1
dies 1
discover 1
discovers 1
dominated 1
down 1
due 1
economic 1
educated 1
enclave 2
enclaves 1
enhanced 1
enhancements 1
enterprises 1
environment 1
escalates 1
eventually 1
exception 1
exhusband 1
existence 1
experiments 1
explosion 2
failed 1
family 1
few 1
fight 1
files 1
finally 1
for 4
free 1
freetown 1
from 9
further 3
future 1
gadi 3
gangs 1
get 2
ghetto 2
girl 1
glop 3
god 1
golem 1
granddaughter 1
grandmother 1
group 1
handed 1
handled 1
has 3
have 1
he 1
hearing 1
hebrew 2
held 1
her 7
here 2
hierarchy 1
himitself 1
himself 1
his 5
hold 1
holocaust 1
hometown 1
hope 2
however 4
huge 1
human 5
illegally 1
illuminating 1
impossible 1
in 17
infiltrate 1
initially 1
integrated 1
interwoven 1
into 4
invites 2
is 12
israel 1
it 2
its 1
jewish 2
joseph 4
josh 2
judah 1
kabbalah 2
kidnap 1
killed 1
knowledge 1
lab 1
law 1
leaves 1
letter 1
life 2
lives 2
living 1
loew 3
loses 1
love 1
made 1
main 3
mainly 1
makes 1
malkah 6
man 1
manage 1
manmade 1
means 1
meeting 1
mob 1
mother 1
multi 1
multinational 1
multis 3
mutually 1
near 1
nebraska 1
net 1
network 2
new 1
next 1
nili 3
north 1
notes 2
nucleardevastated 1
of 18
on 3
online 1
organized 1
outside 1
over 1
own 2
palestine 1
part 1
partially 1
participants 1
participating 1
personnel 1
perspective 1
plans 1
plea 1
plot 1
pogrom 1
political 1
population 1
possible 1
postnuclear 1
poverty 1
power 1
prague 1
prevent 1
previously 1
produced 1
profit 1
programmed 1
programming 1
project 1
protagonist 1
protect 3
protects 1
quiet 1
rabbi 1
read 1
recreating 1
relationship 1
remain 1
resistance 1
respects 1
returns 3
revealing 1
right 1
riva 3
robot 1
row 1
secret 1
security 1
sell 1
sent 1
sexual 1
she 7
shira 11
situated 1
situation 1
sleeping 1
so 2
social 1
socialization 1
society 2
software 1
some 1
son 3
spends 1
starts 1
step 1
still 1
stories 1
story 2
stronger 1
successfully 1
sure 1
sweetheart 1
symbol 1
synchronous 1
teaches 1
technologies 1
technology 1
tells 1
tenth 2
that 8
the 49
their 2
them 2
themselves 1
there 2
thereupon 1
they 4
think 1
this 2
those 1
tikva 6
time 2
to 31
town 1
towns 1
travel 1
two 1
ultimately 1
underground 1
until 1
up 1
uses 1
very 1
via 1
visit 1
what 1
when 6
which 2
while 1
who 3
whose 1
wishes 1
with 8
within 1
woman 2
working 2
would 1
write 1
yakamurastichen 1
year 1
yod 15
young 1
ys 9
