9515398
/m/02phfvj
/m/02phfvj
Hans Granqvist


a 6
an 2
and 2
any 2
are 2
arsenal 1
asking 1
axe 1
be 1
before 1
bigger 1
bomb 2
bombs 1
border 1
brother 1
built 1
but 3
by 1
can 1
carter 2
chinese 5
cia 1
claim 1
destroy 2
detonate 1
do 1
dollars 1
dont 1
end 1
equipment 1
exchange 1
falling 1
fan 2
few 2
for 3
francisco 1
go 1
gold 1
government 2
group 1
guard 1
has 1
have 2
hbomb 1
he 1
help 1
her 2
high 1
his 1
hoping 1
in 5
indian 1
interested 1
intimidate 1
is 1
it 1
kills 1
many 1
million 1
nations 1
near 1
nick 1
not 2
of 3
or 1
organization 1
overthrow 1
possibly 1
post 1
preparing 1
reach 1
reached 1
rebel 2
red 1
reveals 1
right 1
russia 1
san 1
see 1
seeking 1
setting 1
she 2
site 1
so 1
something 1
soon 1
su 2
such 1
test 1
than 1
that 3
the 14
then 1
they 5
things 1
third 1
time 1
to 5
transported 1
turns 1
undertong 1
up 2
us 1
use 1
valley 1
wants 1
weapons 1
will 1
world 1
worth 1
yeti 2
