4528209
/m/0c78pd
/m/0c78pd
Fredric Brown

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 6
accept 1
aeons 1
after 1
alien 1
all 1
allied 1
allows 1
and 4
another 1
around 1
arrives 1
asteroid 6
beautiful 1
beings 1
belt 1
blocks 1
book 1
builds 1
but 2
by 1
can 1
corrupt 1
countless 1
couple 1
created 1
criminal 4
depart 1
eden 1
efforts 1
encounter 1
eventually 3
ever 1
falling 1
first 1
for 1
godlike 1
group 1
had 1
herself 1
him 1
his 1
in 5
interstellar 1
investigate 1
involved 1
is 2
it 1
its 1
itself 1
judge 3
killed 1
late 1
lifeanddeath 1
likeable 1
living 4
love 1
make 1
makes 1
mankind 1
new 2
of 1
only 1
other 1
passing 1
planet 1
planetfall 1
powerful 1
powermad 1
resurrects 1
returns 1
sentient 2
small 1
so 1
solar 1
space 1
struggle 1
system 1
the 14
them 1
then 1
they 1
to 3
too 1
wandering 1
whilst 1
who 1
wife 2
with 4
world 1
