22027244
/m/05p5qxc
/m/05p5qxc
Mary Hays
1799
11 1
a 2
acquaintance 1
affect 1
age 1
and 6
any 1
around 1
as 2
at 1
be 1
begins 1
benevolent 1
boys 1
britain 1
brothers 1
brought 1
by 2
character 1
charity 1
childhood 1
close 1
come 1
death 1
details 1
develops 1
edmund 1
educated 1
encounters 1
environment 1
fashion 1
father 1
friendship 1
from 2
future 1
grow 1
guardian 2
he 2
her 4
his 1
in 2
is 1
keep 1
live 1
loving 1
main 1
maintain 1
mary 3
men 1
might 1
mr 4
must 1
negatively 1
novel 1
of 6
older 1
on 1
order 1
patriarchal 1
pelham 1
prejudiced 1
promise 1
raymond 4
reliance 1
rest 1
sees 1
separate 2
shift 1
should 1
society 1
subsequent 1
that 4
the 10
their 1
them 2
this 1
those 1
to 4
trials 1
two 2
unsullied 1
up 1
upon 1
wealth 1
when 1
william 2
with 2
