22163028
/m/05q5xvz
/m/05q5xvz
Bruce Marshall
1934
{"/m/05hgj": "Novel"}
a 5
about 2
accurate 1
all 1
an 1
and 5
as 1
at 1
bare 1
be 1
between 1
boys 1
brightens 1
but 1
conveying 1
cutting 1
daughter 1
describing 1
description 1
devilish 1
during 1
engrossing 1
facts 1
far 1
for 1
front 1
go 1
headmaster 1
heightens 1
i 1
idyl 1
in 3
into 1
is 4
it 2
leave 1
life 2
love 1
marshall 1
masters 1
moving 1
mr 1
no 1
novel 2
of 5
one 1
or 2
overnight 1
pathos 1
prep 2
reader 1
satire 1
say 1
scene 1
school 2
schoolboys 1
scotland 1
scottish 1
so 1
soldiers 1
story 1
student 1
surrounding 1
that 2
the 9
this 1
to 3
turned 1
unique 1
war 1
way 2
which 1
who 1
will 1
wit 1
with 1
witty 1
world 1
young 1
