162189
/m/015jfx
/m/015jfx
Gaston Leroux

{"/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02xlf": "Fiction", "/m/039vk": "Gothic fiction"}
a 22
abductor 1
about 1
above 2
accident 1
according 1
acquaintance 2
act 1
admits 1
advertises 1
after 5
agrees 4
all 2
allowed 1
allows 1
alone 1
also 1
am 1
an 4
and 38
angel 4
another 2
anyone 2
architects 1
are 1
arrives 1
as 3
asks 1
at 5
attempt 1
attempted 1
attracted 1
audience 1
aware 1
away 2
back 4
be 5
beautiful 1
becoming 1
been 5
before 3
befriends 1
begins 3
begs 1
beholds 1
being 1
believes 1
belongs 1
benefactor 1
best 1
bit 1
blue 1
book 2
both 2
box 1
boy 1
bride 2
broken 1
brought 1
built 1
bury 2
but 5
by 4
can 1
career 1
carlotta 2
cause 1
causes 1
cellars 5
chagny 1
chamber 2
chandelier 2
change 1
chapters 1
charismatic 1
childhood 2
chorus 1
christine 31
claims 1
come 2
condition 2
construction 1
contemplated 1
continues 1
conversation 1
corpse 1
crawling 1
crying 1
daa 1
day 1
days 1
death 2
deathbed 1
decides 1
described 1
destroy 1
dies 2
digging 1
do 1
doesnt 1
don 1
donna 1
douse 1
driven 1
drown 1
drugging 1
during 3
earlier 1
early 1
elderly 1
emotion 1
enjoys 1
entire 1
erik 22
europe 1
even 2
eventually 1
everyone 1
explaining 1
explosives 2
express 1
extorting 1
eyes 1
face 4
faithful 1
fallen 1
falls 1
famous 1
father 7
faust 2
favourite 1
fearing 1
featuring 1
few 1
fiddler 1
find 2
finger 1
fingers 1
first 2
five 1
floors 1
folk 1
following 2
for 4
force 1
forehead 1
forever 1
france 1
frenzy 2
friend 1
from 4
gala 2
garnier 1
gas 1
gaston 1
genius 1
ghost 1
girl 1
give 2
given 1
gives 1
go 3
goes 1
golden 1
grand 1
had 1
hair 1
has 8
have 1
he 16
hearing 1
hears 1
heart 1
heaven 2
heavenly 1
help 1
her 29
herself 2
him 14
himself 2
his 19
home 2
hoping 1
horror 1
hot 1
house 1
however 1
i 2
identity 1
if 3
in 21
including 1
inspiration 1
into 4
introduced 1
is 14
it 2
jealous 1
juan 1
keep 2
kidnaps 2
kill 1
killing 1
kiss 3
know 1
known 2
land 1
last 1
later 1
lead 1
least 1
leave 2
leaves 1
leroux 1
lets 1
life 1
lifts 1
lights 2
like 1
listening 1
little 3
lives 1
living 1
long 1
loses 1
lotte 1
love 4
mamma 1
management 1
managers 2
many 3
marriage 1
marry 2
mask 2
meets 1
men 1
mentallydisturbed 1
money 1
mother 2
muse 1
music 6
musical 1
must 1
need 1
neither 1
never 2
newspaper 1
night 3
not 4
novel 2
now 1
of 26
off 3
offers 2
old 4
on 8
one 4
only 2
opens 1
opera 9
or 3
over 1
overcome 1
own 1
palais 1
panic 1
paris 2
part 1
patron 1
people 1
performs 1
persian 5
person 1
personification 1
phantom 1
physicallydeformed 1
pities 1
plans 2
planted 1
playing 2
plummets 1
position 1
possesses 1
prima 1
probably 1
production 1
professor 1
prologue 1
promise 1
promised 1
promises 1
promising 1
raoul 9
real 1
realizes 2
really 1
received 1
refuse 1
refused 1
refuses 1
release 1
religious 1
remembers 1
request 1
requests 1
rescue 1
rescues 1
resembles 1
resists 1
response 1
retirement 1
retrospectively 1
returns 1
revealed 1
reveals 1
ring 3
roof 1
rotting 1
rural 1
save 1
secretly 1
secrets 1
send 1
shall 1
she 17
shouts 1
show 1
sings 1
six 1
slipped 1
somewhere 1
speaks 1
spirits 1
stage 1
stating 2
stood 1
stories 3
streets 1
sung 1
surrender 1
switching 1
take 2
taking 1
teach 1
tells 5
terrorising 1
that 12
the 72
their 1
them 2
then 2
there 2
thereafter 1
these 1
thinks 1
this 2
threatens 1
three 1
time 2
to 45
told 1
took 1
torture 2
trapped 1
travelled 1
tries 2
triumphant 1
triumphs 1
true 1
turned 1
two 2
unearthly 1
unknown 1
unmasks 1
until 2
up 1
upon 1
used 1
using 1
valerius 2
viscount 1
visited 1
voice 6
was 4
water 1
way 1
we 1
wear 1
weddingfiddler 1
week 1
weeks 2
when 5
whenever 1
where 1
which 5
whilst 1
who 9
widow 1
will 5
wish 1
with 10
years 1
you 2
young 2
