10964751
/m/02qwhlx
/m/02qwhlx
Eric Newby
1983
a 9
abandoned 1
adventures 1
an 2
and 7
ankle 1
another 1
are 1
armistizio 1
at 1
because 1
boat 2
british 1
broken 1
build 1
but 1
by 2
camouflaged 1
captured 1
cave 1
coast 1
colleagues 1
daughter 1
discover 1
doctor 1
east 1
english 2
escape 1
escapes 1
exchange 1
exciting 1
fail 1
fall 1
farmer 1
fishing 1
follow 1
fontanellato 1
for 1
from 1
further 1
germans 1
gives 1
has 1
hay 1
he 4
here 1
hidden 1
hides 1
him 3
his 1
hospital 1
house 1
imprisoned 1
in 6
into 1
is 6
italian 2
italians 1
lessons 2
let 1
loft 1
love 1
make 1
meeting 1
mountains 1
moves 1
moving 1
nearly 1
newby 5
of 2
on 1
one 1
operation 1
orphanage 1
part 1
picked 1
po 1
prisoners 1
rendezvous 1
service 1
shepherd 1
sicily 1
slovene 1
special 1
stay 1
submarine 1
takes 2
teacher 1
the 9
their 1
there 1
they 1
to 4
until 1
up 1
valley 1
villagers 1
visited 1
wanda 2
who 1
with 4
