7216366
/m/025wdhs
/m/025wdhs
Tom Stoppard

a 7
after 1
all 2
allowed 1
almost 1
along 1
an 2
and 18
anew 1
apprentice 1
arranges 1
as 4
assistant 1
austrian 1
back 1
be 1
been 2
big 1
blumenblatt 2
business 1
carefully 1
catch 1
chaos 1
characters 1
chinese 1
christopher 5
circumstances 1
city 1
clerk 1
clothing 1
coachman 1
come 1
comes 1
company 1
complications 1
consists 1
courting 1
customer 1
decide 1
departs 1
discover 1
disguise 1
disguised 1
double 1
down 1
eloping 1
engagement 1
entendres 1
enter 1
entrusts 1
eventually 1
ever 1
everything 1
fancy 1
farce 1
fashion 1
fasttalking 1
finalize 1
finally 1
fischer 2
flee 1
for 2
frau 2
from 2
garrulous 1
go 1
gone 1
grocery 1
has 1
have 1
he 3
head 1
her 3
herr 1
hires 1
his 5
hours 1
house 1
identities 1
immediately 1
in 8
inheritance 1
intends 1
into 4
is 5
it 1
itself 1
knorr 5
knowing 1
life 2
make 1
malapropisms 1
mannequins 1
marie 4
marry 2
melchior 1
misdirected 1
miss 2
mistaken 1
mistakes 1
mme 5
naive 1
new 3
niece 1
night 1
normal 1
obsessed 1
of 9
on 2
one 1
operation 1
orders 2
out 1
pals 1
pen 1
penniless 1
personal 1
plans 1
play 1
positioned 1
preparation 1
pretending 1
prevent 1
promoted 1
propel 1
proprietor 2
protect 1
razzle 2
restaurant 2
returns 1
romantic 2
roped 1
same 1
scene 1
screen 1
seem 1
send 1
settling 1
several 1
sexually 1
she 1
shenanigans 1
shop 1
sight 1
sisterinlaw 1
slapstick 1
small 1
solves 1
sonders 4
sorted 1
sprinting 1
starts 1
stoppard 1
store 2
take 1
the 18
their 1
themselves 1
they 2
things 1
time 1
to 15
twistedtongued 1
two 2
upscale 1
various 1
vienna 4
village 1
waiters 1
wardrobe 1
weinberl 6
were 1
when 1
which 1
who 4
wife 1
window 1
women 1
zangler 6
