4202824
/m/0bprg2
/m/0bprg2
Barbara Hambly

a 6
adventures 1
after 2
ago 1
an 1
ancient 1
and 4
as 1
ashgad 1
attack 1
backwater 1
beldorion 1
between 1
by 1
callista 1
center 1
centuries 1
chorios 1
conspiracy 1
corrupt 1
crystals 1
cult 1
death 1
down 1
end 1
escape 1
fanatic 1
flame 1
from 1
goes 1
home 1
hutt 1
in 1
infamously 1
is 5
it 1
kidnapped 1
leader 1
leia 2
luke 2
meet 1
message 1
nam 1
new 3
now 1
of 4
old 1
on 2
organa 1
outer 1
party 1
place 1
plague 1
plotting 1
political 1
quasiintelligent 1
rationalist 1
rationalists 1
receiving 1
religious 1
republic 2
rim 1
seed 1
series 1
seti 1
ship 1
shot 1
skywalker 1
solo 1
starfighters 1
story 1
system 1
takes 1
the 13
there 1
to 4
trip 1
two 1
unmanned 1
unofficially 1
unstoppable 1
use 1
was 1
weapon 1
which 2
with 1
world 1
