12545383
/m/02wcj1r
/m/02wcj1r
Allan Cole
1990
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 13
about 2
after 4
again 2
all 1
along 1
also 1
and 11
apparently 1
are 1
around 1
assassinated 1
assassination 2
at 2
becomes 1
been 1
bloodshed 1
bodyguards 1
book 3
borrows 1
but 1
by 1
called 1
can 3
captured 1
carry 1
character 1
charge 1
cleverness 1
clicked 1
clock 1
cook 1
corrupt 1
council 2
crew 1
crimes 1
dazzling 1
demise 1
diner 1
display 1
dive 1
do 1
does 1
doing 1
down 1
drawn 1
dusable 3
election 2
emperor 4
end 1
ends 1
eternal 3
even 2
everyone 1
everything 1
explain 1
failed 1
few 1
finally 1
finds 1
follows 1
for 4
from 1
gathers 1
go 1
good 1
grand 2
guile 1
gurkha 1
had 1
has 1
he 16
heads 1
here 1
him 2
himself 3
his 5
hunt 1
if 1
immortal 1
imperial 2
in 7
internal 1
is 12
it 7
its 1
just 2
kill 1
killed 1
know 1
known 1
knows 1
lands 1
last 1
leave 2
leaves 1
like 1
look 1
looks 1
makes 1
members 2
memory 1
mission 1
most 1
mostly 1
mutiny 2
mysterious 1
named 1
no 1
not 5
occur 1
of 9
off 1
on 1
once 1
only 1
onto 1
or 1
organizes 2
other 1
out 2
over 2
own 1
parading 1
planet 3
point 1
political 1
politics 1
portion 1
present 1
prevent 1
privy 2
proof 1
raschid 2
reborn 1
responsible 1
revolves 1
rigs 1
running 1
sailing 1
say 1
scheduled 1
service 1
ship 5
shows 1
signs 1
smooth 1
smuggling 1
so 1
something 1
space 1
spaceship 1
sten 3
stops 1
strange 2
stuns 1
successful 1
supposed 2
takes 4
tells 1
that 6
the 26
their 2
them 2
then 1
they 2
thing 1
things 1
this 2
though 1
through 1
time 2
to 11
took 1
touch 1
tribunal 2
try 1
universe 1
until 1
up 2
upon 1
very 1
wades 1
wakes 1
way 1
were 2
what 1
why 1
with 3
works 1
would 1
you 1
