11864192
/m/02rw15q
/m/02rw15q
Kate Morton
2007
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
120s 1
15 1
8 1
a 21
able 1
about 2
accident 1
addressed 2
affair 1
affects 1
after 3
all 1
america 1
an 3
and 26
announces 2
another 1
answer 1
anything 1
appease 1
are 7
around 1
as 6
asks 1
assists 1
at 8
aunt 1
away 4
baby 2
back 3
bags 1
bang 1
beautiful 1
becomes 1
been 2
before 2
begin 2
being 1
believe 1
believes 1
birth 1
book 1
both 1
bradley 1
bright 1
brings 1
brother 1
built 1
businessman 1
but 5
by 2
calls 1
can 4
cant 1
car 1
carried 1
carrying 1
celebrate 1
chance 1
children 1
christmas 1
circumstances 1
come 2
coming 1
complications 1
conceive 1
confirming 1
confirms 1
connection 1
contacted 1
continues 1
control 1
convinced 1
david 3
day 1
death 1
decides 1
deduces 1
deeply 1
depressed 1
despite 1
die 1
dies 1
dinner 1
director 1
distant 1
do 1
does 2
down 1
drinking 1
drowned 1
during 3
each 2
eleven 1
elope 1
emerges 1
emmeline 17
enjoy 1
escape 1
even 1
excuse 1
explained 1
explains 1
extravagant 1
eyes 1
failures 1
fake 1
fall 1
family 1
famous 1
feels 1
film 1
finally 1
find 2
finds 2
fireworks 1
first 1
florence 2
for 6
friend 2
from 7
further 2
gala 1
game 1
get 1
girl 1
give 2
given 1
glimpse 1
goes 1
going 2
got 1
grace 19
grandchildren 1
grandson 2
grown 1
guilt 1
gun 1
had 1
halfsibling 1
handgun 1
hannah 28
has 8
have 2
having 1
he 3
head 1
hearing 1
hence 1
her 18
herself 2
hidden 1
high 1
him 3
himself 2
his 3
home 1
house 3
hunter 2
husband 4
if 2
immediately 1
impressed 1
in 16
incident 1
infatuated 1
into 1
is 23
it 6
jacket 2
jealous 1
killed 2
knowing 1
knows 1
lake 3
last 1
later 3
learns 1
left 1
less 1
letter 4
letters 1
life 3
live 1
lives 1
living 1
locations 1
london 3
lot 1
loud 1
love 3
made 1
maid 1
make 1
manor 1
many 1
marcus 1
married 1
meet 1
meets 1
memories 1
midsummer 1
minute 1
mistakenly 1
moment 1
must 1
nearly 1
need 1
new 1
newly 1
night 1
no 1
not 2
note 2
notes 1
novel 2
now 1
of 8
off 2
often 1
older 1
on 1
once 1
one 5
only 1
opens 1
order 1
ostensibly 1
other 1
parentage 2
particular 1
party 2
passes 1
peace 1
people 2
person 1
plan 1
planning 3
plans 2
pocket 1
poet 1
police 1
prefers 1
pregnant 1
previous 1
provides 2
pulls 1
questioned 1
quickly 1
read 3
realises 1
really 2
relocate 1
return 1
returns 1
revealed 1
revival 1
riverton 8
robbie 14
room 1
ruins 1
run 3
rushes 1
rushing 1
save 1
say 1
saying 1
school 1
second 1
secret 2
secrets 2
see 4
send 1
sent 2
settled 1
sharing 1
she 19
shellshock 1
shoot 2
shoots 1
shorthand 3
shot 2
shouts 1
sister 1
slipping 1
society 1
some 1
somewhere 1
stay 1
stays 1
stirred 1
stop 1
story 1
suffering 1
suicide 2
suitcase 1
summerhouse 1
surviving 1
suspects 1
suspicious 1
take 1
takes 2
taking 1
tape 1
tapes 1
tells 2
ten 1
terrible 1
that 7
the 42
their 2
them 6
themselves 1
there 1
they 8
thinks 1
this 3
threatens 1
throughout 1
time 2
times 1
to 47
together 3
told 1
trenches 1
truth 1
two 1
unhappily 1
unspoken 1
until 2
up 2
ursula 1
very 1
via 1
wanted 1
wants 1
war 1
was 4
wearing 1
wellknown 1
were 1
what 1
when 4
where 1
which 1
who 3
will 1
with 7
woman 1
work 1
wrestles 1
wwi 1
yearold 2
years 3
young 2
