7589425
/m/026632j
/m/026632j
Kathy Reichs
1997-09
{"/m/0lsxr": "Crime Fiction"}
a 2
abandoned 1
after 1
an 3
anthropologist 1
anthropology 1
at 1
autopsy 1
been 1
body 2
brennan 2
but 2
case 1
city 1
claudel 2
closest 1
convinced 1
convinces 1
count 1
cynicism 1
danger 1
decomposed 1
deep 1
despite 1
detective 1
determined 1
director 1
disappearances 1
discovered 1
dismembered 1
dr 1
expertise 1
finally 1
for 2
forensic 2
found 1
given 1
ground 1
has 2
heads 1
her 3
in 3
initiates 1
investigation 2
is 6
killer 1
meticulously 1
monastery 1
of 5
only 1
places 1
probing 1
province 1
quebec 1
recent 1
requested 1
researching 1
risen 1
serial 1
standard 1
tempe 1
temperance 1
that 1
the 8
those 1
to 1
too 1
when 1
which 1
who 2
woman 1
work 1
