3402603
/m/099p2g
/m/099p2g
Nette Hilton
1948
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 11
about 2
accepts 1
adventure 2
after 1
all 1
almost 1
also 2
and 12
angry 1
around 1
baby 1
be 4
beautiful 1
becomes 1
being 1
belinda 3
bit 2
boy 1
by 1
cares 1
caretaker 2
child 1
cousin 2
decided 1
diamond 1
discovering 1
do 1
does 2
dress 1
duke 9
dukes 1
encouraged 1
end 1
fight 1
figure 1
find 1
finds 3
fire 1
fix 1
for 1
forced 1
foundling 2
friend 1
from 1
future 1
get 1
gets 1
gideon 1
goes 1
got 1
happily 1
harriet 3
has 1
he 13
heading 1
her 5
him 1
himself 1
his 10
home 1
house 1
how 1
hurt 1
impending 1
in 5
including 1
into 1
is 9
jam 1
just 1
kidnapped 1
knows 1
lady 1
later 1
letters 1
like 1
lionel 3
lives 1
lord 3
love 2
major 1
marriage 3
marry 2
matthew 4
naive 1
named 1
next 1
nobody 1
not 2
novel 1
nowhere 1
nusiance 1
of 10
old 1
on 3
only 1
or 1
other 1
out 7
own 1
particular 1
posse 1
pretends 1
problems 1
promised 1
purple 1
reality 1
really 1
resolves 1
rest 1
riding 2
ring 1
road 1
safely 1
sale 2
sees 1
sent 1
servants 2
set 1
sets 1
side 1
soon 1
supposedly 1
tale 1
team 1
that 1
the 18
them 1
thing 1
this 1
threatened 1
tired 1
to 17
told 1
tom 2
treat 1
trouble 1
true 1
truly 1
trying 1
twentyfive 1
uncle 1
very 2
visit 1
want 1
wants 1
what 1
when 3
who 4
wife 1
wild 1
with 4
worry 1
years 1
young 1
