1194427
/m/04g88q
/m/04g88q
Ken Follett
1989
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense", "/m/0hwxm": "Historical novel"}
a 14
abandons 1
accuses 2
adelin 1
after 4
again 2
against 2
agrees 2
aid 1
alfred 7
aliena 10
all 1
allies 1
allow 1
an 1
and 30
anjou 1
annulled 1
anyway 1
appeals 1
archbishop 1
archibishop 1
are 3
as 8
ashore 1
assassinate 1
at 4
attacks 1
attempting 1
bankrupted 1
bartholomew 2
battle 1
be 1
becket 1
become 1
becomes 2
becoming 1
been 4
befriends 1
being 1
better 1
bigod 2
bigods 1
birth 1
boy 1
brother 1
brought 1
builder 2
builders 1
building 2
bullies 1
burns 1
but 2
by 5
canterbury 1
carrying 1
castle 2
cathedral 5
cave 1
charge 1
cherbourg 1
childbirth 1
children 2
church 1
civil 1
claiming 1
collapses 1
compete 1
completed 1
complicity 1
conspiracy 1
construction 1
convicted 1
count 1
court 1
crown 1
curses 1
daughter 1
days 1
death 1
defending 1
destitute 1
discovered 1
does 1
down 1
during 1
dying 1
earl 1
earldom 4
elizabeth 1
ellen 9
encounters 1
england 2
exchange 1
executed 1
expand 1
expelled 1
expense 1
exposes 1
family 1
father 3
favour 1
fight 1
fighting 1
financial 1
financially 1
find 1
for 7
forbids 1
forces 2
forest 2
fornication 2
fortune 1
fortunes 1
france 1
french 1
from 2
frustrated 1
gain 1
gains 1
girl 1
given 1
gives 1
go 1
goes 1
granted 1
had 2
hamleigh 4
hamleighs 2
hand 1
hanged 1
has 6
have 1
having 1
he 11
heir 1
henry 4
henrys 1
her 8
him 3
his 14
homeless 1
hones 1
humble 1
i 1
identity 1
impotent 2
in 12
including 1
injures 1
intend 1
interests 1
invades 1
involved 1
is 9
it 1
jack 11
joined 1
jonathan 2
killing 1
kills 1
king 6
kingsbridge 6
knight 1
know 1
land 1
learned 1
lincoln 1
lives 2
living 1
losing 1
lost 1
love 1
lover 1
make 1
many 3
marriage 1
marries 1
marry 3
martha 1
mason 2
masons 1
maud 2
meanwhile 3
meets 1
merchant 1
monk 3
morning 1
not 3
novice 1
oath 1
of 14
on 1
order 1
out 1
outraged 1
over 1
own 1
owned 1
part 2
people 2
percy 1
perjury 1
permission 1
persuades 3
petition 1
philip 9
plot 1
pope 1
pregnant 1
prior 4
priory 1
prison 1
promised 1
properties 1
prosperity 1
public 1
quarry 2
rapes 1
rebuilding 1
recommendation 1
redheaded 1
regain 1
reign 1
rejected 1
renders 1
repentance 1
replace 1
requires 1
restore 1
returns 4
revert 1
richard 9
right 1
roams 1
roof 1
ruin 1
ruined 1
sculptor 2
seek 1
seeking 1
service 1
settles 1
she 2
sheriff 1
ship 1
shiring 2
siblings 1
sink 1
skilled 1
skills 1
son 7
southern 1
stay 1
stephen 4
stephens 1
stone 2
subjugation 1
succeed 1
support 2
supporting 1
supports 1
swear 1
swears 1
symbolic 1
take 1
that 3
the 40
their 1
them 4
they 3
this 1
thomas 1
those 1
to 33
tom 7
topple 1
two 1
union 1
unmarried 1
until 2
vault 1
village 1
waleran 3
wants 2
war 1
was 2
washing 1
wedding 2
when 4
while 1
white 1
who 3
wife 2
will 1
william 9
with 8
woman 1
wooden 1
wool 1
work 2
works 1
years 1
young 1
