4923418
/m/0cvdfz
/m/0cvdfz
Dean Koontz
2005
{"/m/05qfh": "Psychology", "/m/014dfn": "Speculative fiction", "/m/0c3351": "Suspense"}
a 10
abandoned 1
abilities 1
about 1
accompanies 1
after 1
afterlife 1
an 3
and 11
andre 3
angry 1
are 1
as 2
assumes 1
at 4
attacks 1
attempt 1
back 1
be 1
because 1
been 1
before 1
behind 1
blue 1
bomb 2
bone 1
bronwen 1
by 2
caf 1
called 1
casino 1
chases 1
cheval 5
chief 1
childhood 1
comes 1
dad 1
danny 10
datura 6
dearest 1
debilitating 1
did 1
dies 1
disarms 1
discovers 1
disease 1
dismayed 1
enraged 1
escapes 1
father 1
find 1
finds 4
first 1
flings 1
friend 2
friends 1
from 4
front 1
ghost 1
ghosts 2
got 1
has 2
he 8
her 6
him 4
his 10
hope 1
hotel 4
how 1
however 1
idea 1
in 9
inform 1
informed 1
informs 1
inside 1
instead 1
insults 1
into 1
investigates 1
is 3
kidnap 1
kidnapped 3
kill 1
kills 1
later 1
leading 1
leaves 1
led 1
life 1
line 1
lion 1
llellywen 1
loneliness 1
magnetism 2
makes 1
many 1
meet 1
monastery 1
months 1
moon 1
mountain 1
named 1
no 1
not 1
objects 1
obsession 1
odd 14
of 4
one 1
order 1
orders 1
paranormal 1
peace 1
phone 1
plans 1
point 1
poltergeist 2
porter 1
previously 1
prison 1
psychic 2
recently 1
recounts 1
released 1
reluctantly 1
rescue 1
returns 2
reunited 1
reverse 1
robert 2
room 2
saw 1
sewer 2
sex 1
she 2
shotgun 1
show 1
some 1
soulmate 1
special 1
spirit 1
spoke 1
stormy 1
strapped 1
survival 1
takes 1
talking 1
that 4
the 12
them 1
then 1
there 1
therefore 1
they 2
this 1
three 1
through 2
thugs 1
tied 1
to 13
tunnel 1
two 2
up 1
uses 1
visits 1
was 1
water 1
where 2
which 1
who 1
with 5
woman 2
work 1
