3711183
/m/09wpgx
/m/09wpgx
Robert Cormier
1992
a 15
about 3
afterwards 1
again 1
agrees 1
also 2
an 1
and 16
another 1
apartment 1
appears 1
art 3
asks 1
at 4
away 3
back 1
be 3
because 1
becomes 2
boss 1
boy 1
but 1
buy 1
by 5
can 1
car 1
carve 1
case 1
center 3
close 1
collapse 1
comments 1
condition 1
contributes 1
crazy 1
curious 1
daughter 1
day 5
death 1
deceptive 1
decides 1
destroy 3
destroyed 1
destroying 1
disappear 1
do 2
does 1
down 1
driver 1
drops 1
drove 1
eddie 4
end 1
every 2
explains 1
faces 1
family 5
father 1
few 1
find 1
fired 2
follows 1
for 4
from 1
further 1
give 1
goes 1
good 2
grave 3
gravestone 1
grocery 1
had 1
hairston 8
have 2
he 17
hell 2
henry 16
henrys 2
him 9
his 15
hit 1
holocaust 1
home 1
hometown 1
hours 1
house 1
however 1
if 3
in 5
including 1
instantly 1
insults 1
interested 1
into 1
is 7
it 2
jew 1
job 2
just 1
keep 2
knowing 1
later 1
learns 1
leave 1
let 2
levine 3
liking 1
lived 1
long 1
longer 1
lost 1
makes 1
mallet 1
man 3
many 1
mark 1
meets 1
memories 1
model 2
mom 1
mother 3
move 1
moves 1
mr 11
name 1
named 1
near 1
never 1
new 1
no 3
not 4
of 5
offers 1
old 3
on 3
one 4
order 1
out 1
over 1
overnight 1
part 1
passed 1
pay 1
people 1
perfectionist 1
person 1
previously 1
principal 1
problem 1
put 1
quiet 1
raise 1
rat 1
reason 1
recently 1
relationships 1
replica 1
reputation 1
reward 1
rewards 1
rude 1
run 1
said 1
says 1
school 1
sculpture 2
seen 1
should 1
smash 1
somehow 1
somewhere 1
son 1
special 1
ss 1
startles 1
stays 1
stone 1
store 2
strangely 1
street 2
support 1
surprisingly 1
survivor 1
taking 1
tells 3
that 5
the 23
their 2
then 1
there 1
they 1
threatens 1
title 1
to 21
tool 1
torment 1
town 3
townsfolk 1
traumatized 1
very 1
village 5
waits 1
walk 1
want 1
wanted 1
wants 1
was 4
watches 1
way 1
week 2
weeks 1
what 2
where 1
which 3
while 1
who 4
why 2
wife 1
with 2
working 1
works 2
would 2
