21054799
/m/05b3gg0
/m/05b3gg0
Gordon Williams

{"/m/0lsxr": "Crime Fiction"}
a 3
accidentally 1
american 1
an 1
and 4
back 1
book 1
break 1
can 1
car 1
child 1
cornwall 1
daughter 1
eightyearold 1
england 1
english 1
family 1
farm 2
fight 1
find 1
finish 1
form 1
george 4
has 1
he 2
him 1
his 3
hits 1
house 1
in 1
into 1
is 2
karen 1
killer 1
knowing 1
locals 1
louise 1
magruder 1
mob 1
moves 1
not 1
of 1
off 1
out 1
professor 2
protect 1
so 1
takes 1
that 1
the 3
them 1
they 1
to 5
trencher 1
when 1
who 1
wife 1
with 2
writing 1
