4395999
/m/0b__1l
/m/0b__1l
Jack Schaefer
1949
160 1
1862 1
1th 1
a 2
abandon 1
able 1
acres 1
act 1
along 1
although 1
an 1
are 2
area 1
as 1
at 1
avoid 1
be 2
before 1
bob 2
by 3
cattle 1
century 1
claimed 2
comes 1
could 1
driver 1
expanding 1
farmers 2
farms 1
father 1
first 1
fletcher 5
he 2
help 1
helps 1
herd 1
homestead 4
homesteader 1
homesteaders 2
homesteads 1
in 1
interference 1
intimidation 1
into 1
is 5
it 2
joe 1
land 3
lives 1
luke 3
many 1
much 1
mysterious 1
named 1
narrated 1
of 3
only 2
open 1
original 1
other 1
point 1
proving 1
resist 1
set 1
settled 1
shane 2
so 1
son 1
starrett 1
still 1
story 1
stranger 1
than 1
the 16
their 1
them 1
there 1
to 6
tougher 1
unclaimed 1
used 1
verge 1
was 3
when 1
which 1
who 2
with 2
wyoming 1
