1799004
/m/05xy0f
/m/05xy0f
Yukio Mishima
1969
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 4
10 1
1000 1
10000 1
114 1
12 2
132 4
133 1
15 4
16 2
18 1
1873 1
1874 1
1876 2
2 4
20 2
200 2
21 1
24 2
25 1
26 1
3 3
30 1
30yearold 1
40yearold 1
46 1
50000 1
6 1
6pm 1
7 1
77th 1
a 66
abandon 1
abilities 1
about 5
academy 7
accepts 1
accompanies 1
accordingly 1
account 3
accounting 1
acquired 1
act 1
acted 1
action 1
actions 1
address 2
admit 2
admits 1
admonishing 1
advantage 1
affairs 2
after 8
afternoon 1
afterwards 1
again 3
against 1
age 2
ago 2
ahead 1
aid 1
airraid 1
all 6
allow 1
allowed 1
allows 1
already 2
although 4
altogether 1
ammunition 1
an 12
and 91
animal 1
announces 1
any 2
appeals 1
appeared 1
appears 1
appropriate 1
are 12
areas 1
argue 1
aristocratic 1
army 1
arrested 2
arrives 1
arriving 1
artillery 1
as 11
asked 1
asks 4
assassinate 2
assassinating 1
assassination 1
assassinations 1
asserts 1
assigned 2
assistance 1
associate 1
assume 1
assured 1
at 28
atami 1
athlete 1
atmosphere 1
attacks 3
attended 1
attends 1
audience 2
august 1
authority 1
await 1
awakened 1
away 2
back 2
bank 1
banquet 1
barbarians 1
baron 3
barrack 1
bathe 1
battalion 1
be 12
beach 1
became 1
become 1
becomes 3
been 4
before 6
begging 1
being 3
belief 1
believe 1
beneath 1
betrayed 1
betraying 1
between 3
birthday 1
bland 1
blunders 1
boardinghouse 1
boats 1
bodyguard 1
boldly 2
bolster 1
book 3
both 2
bought 1
boy 1
boys 6
breaking 1
breaks 1
brinecart 1
bring 2
bringing 1
brought 2
burning 1
bushido 1
but 11
buys 1
by 34
calendar 1
called 5
camp 2
can 2
cannot 1
capitalist 1
castle 2
cave 1
celebratory 1
celebrity 1
certain 1
chapter 1
character 1
chat 2
chief 1
chikozu 1
children 1
circle 1
claiming 1
claims 2
clear 2
climbs 1
clouds 1
code 1
col 1
coloured 1
come 1
comes 1
commit 2
commits 1
committing 1
common 3
communists 2
comprehensive 1
concludes 2
conducts 1
conference 1
confusing 1
confusion 1
connection 2
connections 1
consequences 1
conspiracy 1
conspirators 1
constitutional 1
control 1
controlled 1
convinces 1
copy 1
corrupted 1
could 2
country 1
coup 1
couples 1
court 1
coward 1
crackdown 1
criticises 1
current 2
cut 3
cycle 1
dagger 1
daggers 2
dangerous 1
darkness 1
date 2
daughter 1
day 3
days 1
dead 1
deadly 1
death 3
debated 1
deceived 1
december 8
decides 1
declaration 1
decreed 1
defeat 1
defence 1
defending 1
deliver 1
delivers 1
demands 1
denies 1
descend 1
descends 1
describe 1
described 1
description 1
desecratory 1
deserves 1
desired 1
destroy 1
destroying 1
detail 2
detailed 1
details 1
detective 1
detectives 1
diary 1
did 3
die 2
dinner 6
direct 1
disappointed 1
discover 1
discuss 4
discusses 1
discussing 1
dismisses 1
divination 1
divine 5
divorced 1
do 1
does 1
doing 1
doors 1
doubts 1
down 4
dream 1
dreams 1
drill 2
drunk 1
dtat 1
during 4
duty 1
dying 1
each 5
efforts 1
elaborate 1
electric 1
emperor 2
encampment 1
end 3
enlarge 1
entirely 1
entrapped 1
entry 1
envy 1
escape 1
espoused 1
even 2
evening 3
events 1
evidence 2
expel 1
explanation 2
explosives 1
express 1
expresses 5
extort 1
extreme 1
face 1
fact 1
falls 2
far 1
fate 1
father 2
favourable 1
favourite 1
fealty 1
feels 2
festival 2
figured 1
figures 1
final 1
finally 1
fire 1
first 2
five 1
followers 1
follows 1
for 24
forbidden 1
forced 1
forces 1
forfeiture 1
found 2
four 4
friday 1
from 11
fudge 1
fulfilled 1
functions 1
further 2
garden 1
garrison 1
garrisoned 1
gather 1
gathered 1
general 1
ghostly 1
give 4
given 2
gives 2
go 6
gods 1
goes 2
going 1
gone 2
government 2
governor 2
grave 1
great 2
grenades 1
grief 1
group 4
guessing 1
guilty 1
had 4
hakusan 1
hall 1
handed 1
hands 1
hanging 1
happened 1
harukata 1
harunori 1
has 17
have 8
having 1
hayashi 1
he 46
headquarters 1
heard 1
hearing 1
hears 3
heart 1
heaven 1
heir 1
held 1
helped 1
helping 1
her 5
here 1
hideout 1
hill 1
him 29
himself 4
his 38
history 1
holds 1
honda 26
hong 1
hopes 1
hori 14
horrified 1
hotheaded 1
hotin 1
house 5
household 2
how 1
however 1
humiliated 1
hurt 1
hurtling 1
i 1
ichigaya 1
ideas 1
identify 1
if 2
iinuma 15
ill 1
imitators 1
imperial 2
impressed 1
in 51
inamura 1
incident 3
indications 1
indicted 1
indictment 1
induced 1
infantry 1
influenced 1
informant 1
informed 1
informs 1
inn 1
inner 1
innkeeper 1
insignificance 1
instigator 1
intended 2
intention 2
interest 1
interrogation 1
interrogator 1
into 6
introduced 1
introducing 1
invites 1
involved 1
irrational 1
irritated 1
irritation 1
is 53
isao 66
ise 1
issue 1
it 17
izagawa 2
izutsu 3
january 1
japan 3
join 1
joined 1
jolly 1
journal 1
judge 5
judgeship 1
judicial 1
july 2
june 5
junior 1
just 3
kaido 3
karuizawa 1
kaya 4
kendo 4
kendoists 1
kept 1
key 1
kill 2
killed 1
kinpo 1
kinzan 1
kiss 1
kitazaki 2
kitazakimdashthe 1
kito 1
kitos 1
kiyoaki 11
km 1
know 3
known 1
komei 1
koyama 1
kumamoto 3
kurahara 10
kuraharas 1
ladle 1
land 2
lantern 1
large 1
last 1
late 3
later 4
law 2
lawyer 2
lead 1
leading 1
leaflets 2
league 8
lean 1
learn 1
learns 1
leave 2
lecture 1
lectures 1
left 1
lends 2
length 1
less 1
lets 1
letter 1
lieutenant 3
life 1
light 1
lilies 1
lily 2
listening 1
lone 1
long 2
look 1
loses 1
lt 1
ltgen 1
lunar 1
lunch 1
lying 1
made 2
majesty 1
major 1
makes 2
makiko 10
man 2
manchuria 1
many 1
map 1
march 1
marked 1
marquis 1
martial 1
master 3
matsudairas 1
matsugae 3
matsugaes 1
matsukaze 1
may 4
mean 1
meet 1
meeting 2
meets 1
members 1
men 1
mendacious 1
mentioned 1
mentions 1
might 1
miles 1
military 2
min 1
minister 2
ministers 1
misgovernment 1
miwa 3
moles 1
monarchy 1
monday 1
monetaristic 1
money 2
month 2
morbidly 1
more 2
morning 4
most 2
motives 2
mount 2
moved 1
moving 1
mr 2
mud 1
murder 1
mutter 1
nagasaki 1
name 1
named 1
names 2
nara 3
near 1
need 2
neighbourhood 1
never 1
new 2
newspaper 3
next 3
night 1
no 6
nobility 1
noh 1
not 9
novel 1
november 5
now 4
october 4
oen 1
of 78
off 2
offence 1
offered 1
officials 1
old 2
on 36
one 7
only 3
opening 1
opens 1
opinions 1
opportunity 1
opposite 1
or 1
