23519730
/m/02qtfsf
/m/02qtfsf
Erin Hunter
2007-05-29
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 20
about 3
actual 1
actually 1
all 3
also 2
an 1
and 17
animals 1
are 1
around 1
as 14
at 1
be 4
became 1
because 1
becoming 1
been 1
before 1
beginning 1
begins 1
bluestar 1
book 2
both 3
brief 1
but 3
by 3
came 2
camps 1
cannot 1
case 1
cat 6
cats 8
ceremonies 1
ceremony 1
certain 1
character 1
cheetahs 1
clan 5
clans 7
classified 1
come 1
dead 1
deputy 1
describes 1
die 1
different 3
discovered 1
every 1
example 1
fact 2
featured 1
features 3
featuring 2
felt 1
field 1
file 2
firestar 2
first 1
followed 1
for 3
forest 3
forgets 1
four 2
fourtrees 1
general 2
get 1
got 1
group 1
groups 1
guide 6
guided 2
guides 2
habitat 1
habitats 1
hadnt 1
happens 1
has 1
have 1
herbs 1
highstones 1
history 1
homes 1
how 6
in 7
included 1
including 1
inhabit 1
initiate 1
into 1
is 6
island 1
it 6
kittypets 1
lake 2
leader 2
leaders 2
learn 1
leopardclan 2
lionclan 1
little 1
lives 1
living 1
loners 1
map 1
medicine 2
members 1
mention 1
ministories 1
moonpool 1
moonstone 1
more 1
must 1
mythology 1
named 2
narrated 1
new 1
nine 1
no 1
nonprey 1
not 1
notable 1
of 24
one 2
or 1
other 1
place 1
plot 1
position 2
positions 1
probably 1
prophecies 1
publication 1
quest 1
quick 2
released 1
river 2
rogues 1
saying 1
section 4
sections 1
series 2
several 1
shadow 1
short 3
significant 1
single 1
sister 1
sky 1
skyclan 1
small 1
snakes 1
snowfur 1
so 1
something 1
specific 1
starclan 2
story 6
stripes 1
such 1
sundrownplace 1
sunningrocks 1
tale 1
telling 1
tells 1
territories 1
than 1
that 6
the 43
their 4
them 1
themselves 1
then 1
there 6
they 3
this 5
three 1
thunder 1
tigerclan 2
time 1
to 13
tour 2
unite 1
using 1
version 1
visit 1
volunteered 1
warrior 2
warriors 3
was 3
we 1
well 5
were 1
what 2
wild 1
wind 1
with 2
within 1
won 1
yet 1
