7129205
/m/025v3s3
/m/025v3s3


{"/m/0dwly": "Children's literature"}
a 7
all 2
and 3
are 1
as 1
at 2
awakens 1
back 2
based 1
but 1
by 1
calling 1
cap 4
caps 8
cents 2
chanting 1
day 1
disgust 1
down 3
entire 1
feet 1
fifty 2
finally 1
folktale 1
follows 1
for 2
gone 1
he 3
head 3
him 1
his 9
imitate 1
in 2
life 1
monkeys 3
mustachioed 1
nap 1
now 1
of 3
on 4
one 1
only 1
orders 1
own 2
peddler 3
return 1
right 1
sale 2
salesman 1
scolds 1
sit 1
sits 1
stacks 1
still 1
stock 1
stolen 1
story 1
strolls 2
take 1
the 10
theirs 1
them 4
through 1
throw 1
throws 1
to 3
town 1
towns 1
tree 2
troop 1
under 1
upon 1
villages 1
wares 1
wearing 1
wears 1
well 1
when 1
which 1
while 1
who 2
with 1
yells 1
