1297582
/m/04qwcx
/m/04qwcx
Ernst Jünger
1920
115 1
116 1
117 1
118 1
14 1
1st 1
21 1
23 1
73rd 1
a 2
achieved 1
action 1
after 1
again 2
an 1
and 4
annihilated 1
april 2
arras 2
as 1
assault 2
at 1
august 2
awarded 1
battle 4
be 1
before 1
begins 1
british 1
bullet 1
cambrai 1
came 1
captured 1
champagne 1
chest 1
class 1
combat 1
combles 1
company 1
counterattack 1
course 1
cross 1
defence 1
during 4
ensign 1
entering 1
eparges 1
ever 1
final 2
first 2
five 1
for 1
fortunate 1
german 2
guillemont 1
hanoverian 1
he 7
here 1
his 4
in 9
including 1
iron 1
jnger 6
july 1
le 1
led 1
les 1
line 1
march 1
mdash 1
most 1
moved 1
mrite 1
november 1
october 1
of 11
offensive 1
officer 1
on 2
platoon 1
pour 1
private 1
rank 1
recipient 1
recuperating 1
regiment 3
rejoined 1
saw 1
sector 1
severe 1
shortly 1
shot 1
somme 1
spring 1
steel 1
storm 1
suffered 1
taste 1
the 20
third 1
through 1
times 1
to 2
took 1
total 1
troops 1
underway 1
village 2
war 1
was 8
when 2
where 1
which 1
with 3
wound 1
wounded 4
wounds 1
youngest 1
ypres 1
