6137012
/m/0fs2mq
/m/0fs2mq
Steven Havill
2001-11-17
17 1
a 4
accidentally 1
after 1
and 2
arrest 1
arrested 1
as 2
at 1
away 1
baca 5
be 1
before 1
bill 1
border 1
bringing 1
but 1
clues 1
confronts 1
confusing 1
cruiser 1
cruisers 1
days 1
dead 2
death 1
delivery 1
did 1
drives 1
drunkenly 2
fake 1
fatal 1
father 2
few 1
fighting 1
found 1
gastner 4
get 1
he 3
him 2
himself 1
his 7
home 1
hopes 1
id 1
in 3
into 4
involved 1
is 5
kept 1
kicking 1
kitchen 1
last 1
later 1
lead 1
leading 1
local 2
matt 2
morning 1
named 1
next 1
night 1
of 1
office 1
old 1
open 1
out 1
passed 1
path 1
patrol 1
plot 1
pushes 1
set 1
sheriff 2
struggle 1
stumbles 1
teens 1
temporary 1
the 6
thickens 1
this 1
thus 1
to 4
transfer 1
transferred 1
trucks 1
turns 1
uneventful 1
unit 1
was 1
when 1
where 2
who 1
why 1
will 1
window 1
with 1
year 1
