31624125
/m/0gmbsg0
/m/0gmbsg0
John Grisham
2011-06-07
a 1
and 2
any 1
anyonehas 1
april 5
as 2
at 1
be 1
bedroom 1
best 1
better 1
boone 1
chase 1
continue 1
could 1
cousin 1
deadends 1
disappears 1
distant 1
down 1
escaped 1
even 1
fear 1
finnemore 1
friend 1
from 2
happened 1
has 1
her 1
his 3
hit 1
hometown 1
idea 1
in 1
investigative 1
is 2
it 2
jack 1
knowledge 1
knows 1
leeper 1
legal 1
middle 1
missing 1
night 1
no 1
not 1
of 3
one 1
perplexed 1
police 2
prison 1
ripples 1
same 1
save 1
skills 1
small 1
than 1
the 6
theo 1
theodore 1
theowho 1
think 1
through 1
time 1
to 4
truth 1
up 1
use 1
went 1
what 1
when 1
who 1
