22394370
/m/05szh19
/m/05szh19
Jack Whyte
1998
{"/m/0hwxm": "Historical novel"}
50 1
500 2
a 24
aboard 1
accepts 1
acquiring 1
advance 1
after 3
agree 1
agreement 1
alert 1
alexander 1
alliance 3
ally 1
along 1
also 2
ambrose 3
an 8
and 37
any 3
appealing 1
archers 1
are 3
arisen 1
army 3
arrives 2
arthur 10
as 2
assassination 1
at 2
athol 8
attack 3
attacking 1
attacks 2
attempt 2
authority 1
auxiliary 1
avoid 1
avoids 1
back 2
barbaric 1
barge 2
battle 1
be 3
bear 2
becomes 2
before 1
begin 1
begins 1
berbers 2
between 2
boar 1
boat 2
bodyguard 1
branches 1
brief 1
britain 1
briton 1
britonromans 1
brother 3
but 1
by 9
cambria 1
cambrian 1
came 1
camolud 6
camulod 2
camulodian 1
can 1
capital 1
capsizes 1
captain 2
captained 1
captive 1
captures 1
cavalry 4
celts 1
charge 1
charges 1
charging 1
child 6
clearing 1
clears 1
colony 4
come 1
comes 1
community 3
company 1
comrades 1
comulud 1
comuludian 1
condran 1
confrontation 1
connor 2
contender 1
contingent 2
conversation 3
cornwall 1
council 3
creates 1
crew 2
daughters 1
dead 2
decided 1
decides 3
deirdre 1
deliver 1
demonstrate 1
demonstration 1
derek 1
dergyll 1
disappears 1
disbands 1
discover 1
discovers 2
discussing 1
disregarding 1
donuil 8
dreams 1
during 2
education 1
eire 8
embroiled 1
eminent 1
encounter 3
encounters 2
enmity 1
enraged 1
ensue 1
ensure 2
enters 2
epilogue 1
escort 1
evening 1
events 1
ever 1
exchange 1
exhibition 1
existence 1
explains 1
extreme 1
faction 1
factions 1
failing 1
family 2
farm 1
father 1
feels 1
find 2
floating 1
follow 1
foot 1
for 4
force 4
forces 2
found 1
friend 1
friends 2
from 3
future 1
gain 1
galley 1
galleys 1
garn 1
glevum 2
grandson 1
great 1
greets 1
group 4
had 5
hadrian 1
half 1
halfbrother 1
harvesting 1
has 2
hauling 1
have 1
he 5
heavy 2
him 1
himself 1
his 13
home 1
horses 1
how 1
however 2
hunted 1
identical 1
identity 1
if 1
impoverished 1
in 23
infant 1
infantry 2
integrated 1
into 1
irish 3
ironhair 3
is 6
its 1
jumps 1
killed 1
kills 2
king 2
kingdom 3
knights 1
knows 1
lances 1
large 1
larger 1
leaders 2
leave 1
leaves 1
leaving 1
led 2
leper 2
lepers 1
life 4
live 1
locals 1
longtime 1
loyal 1
loyalty 1
lucanus 2
macnyalls 1
made 1
maintained 1
make 1
makes 1
man 1
marauders 1
marauding 1
marble 1
married 1
meanwhile 1
member 1
members 1
memoir 1
memory 1
men 4
merlyn 35
met 1
military 5
morning 1
most 1
must 2
near 1
nearly 1
never 1
norse 1
northumberland 1
now 1
of 49
off 1
older 1
oldest 1
on 6
once 1
one 6
only 1
order 3
origin 1
other 2
outlying 1
outpost 1
outside 1
overboard 1
part 1
parties 2
party 9
passage 1
peace 1
pendragon 1
peoples 1
physician 1
pirate 2
pirates 2
pledges 1
political 1
politics 1
preface 1
previously 1
prince 1
proceeds 1
proof 1
protect 1
put 1
quickly 1
raid 2
raise 1
ravenglass 3
realize 1
reasons 1
recapture 1
reduce 1
releases 1
retinue 1
return 5
returned 1
returning 1
returns 5
revealing 1
reveals 2
revenge 1
roman 1
routes 1
sacrifice 1
safe 1
safety 1
said 1
same 1
sarissa 1
saxon 2
scavengers 1
scots 5
sea 1
searching 1
seen 1
sent 1
sets 1
settle 1
several 1
ship 2
ships 1
shore 2
skirmish 1
small 2
so 1
soldiers 1
someone 1
sons 2
soon 2
south 3
southern 1
spear 1
spring 1
stave 1
staying 1
stays 1
stolen 1
stranded 1
strength 2
stronghold 2
style 1
successfully 1
supplies 1
supporting 1
surround 1
tactfully 1
take 1
temple 1
than 1
that 14
the 103
their 4
them 1
then 3
there 2
they 4
this 5
threat 1
throne 1
through 1
throw 1
to 39
travel 2
traveling 1
travels 1
tries 1
trip 2
troops 1
two 4
unable 1
under 1
understand 1
unruly 1
upon 1
use 2
uses 1
using 2
visited 1
wagonload 1
wall 1
walls 1
warriors 1
was 5
watching 1
weeks 1
welcomed 1
were 1
when 1
where 3
which 4
while 4
who 4
whole 1
why 1
wild 1
wilderness 1
will 2
winter 1
with 8
within 1
without 1
woods 1
would 1
writing 1
years 1
