10861
/m/02y0f
/m/02y0f
Franz Kafka
1925
a 40
about 4
acquitted 1
address 2
advice 1
advises 1
advocate 1
affair 1
affairs 1
afterwards 1
again 2
agency 1
agents 5
airless 3
albeit 1
almost 1
also 2
although 2
an 8
ancient 1
and 43
angry 1
another 3
any 1
apartment 1
apologizes 1
appears 2
approaches 1
are 6
argue 1
around 1
arranged 1
arrested 3
arrive 1
arrives 1
as 10
asked 1
asking 1
asks 2
assumed 1
at 10
attempts 1
attendant 3
attended 1
attic 3
attitude 1
attorney 1
author 1
authority 1
authorizes 1
await 1
aware 1
away 3
back 2
bank 5
bankrupt 1
be 11
becomes 2
been 6
before 2
begin 1
begins 1
behalf 1
behind 1
behinds 1
behindthescenes 1
being 3
berates 1
between 1
birthday 2
block 4
blocking 1
boss 1
brags 1
bribes 1
brief 2
brstner 3
building 1
bureaucracy 1
businessman 1
but 5
butcher 1
by 11
called 1
calling 1
calls 1
can 2
cannot 1
captain 1
case 6
cathedral 3
chaplain 1
chapter 1
charge 2
charged 1
chief 3
church 1
claims 1
clear 1
clerk 2
client 8
clients 3
come 1
coming 1
committee 1
compelled 1
complaints 1
complete 1
concerned 1
connections 1
consumed 1
continued 1
control 1
conversation 2
corner 1
court 18
courts 1
crime 1
crowded 1
cultural 1
curry 1
darkness 1
date 1
day 2
deal 1
dealing 1
dealings 1
decides 1
deep 1
defendant 1
denigrating 1
dependence 1
deteriorates 1
different 1
difficult 1
dire 1
direction 1
discarded 1
discovers 1
discuss 1
discussion 1
dismissing 1
distressed 1
does 1
doesnt 1
dog 1
doglike 1
door 3
doubleedged 1
down 1
downtrodden 1
during 2
duty 1
efforts 1
either 1
emerges 1
empty 1
encounter 1
end 1
enslaved 1
entered 1
entirety 1
especially 1
eve 1
even 1
ever 1
everything 2
except 1
experience 1
explain 1
explore 1
explores 1
fable 1
favor 1
financial 1
find 3
first 1
five 1
flogger 3
for 15
forth 1
found 1
free 1
from 14
front 1
frulein 4
further 1
generations 1
girls 2
give 1
given 2
gives 1
giving 1
glacial 1
go 1
goes 3
gone 1
guardian 1
guilt 1
had 1
has 13
have 3
he 21
head 1
heart 1
help 4
her 3
hidden 1
higher 3
him 20
himself 2
his 20
holds 2
home 2
hopeless 1
housed 1
how 2
however 1
huge 1
hurt 1
idea 1
identity 1
important 2
in 11
incessantly 1
including 2
indeed 1
individual 1
information 1
inherited 1
innocence 1
inside 1
insight 1
instead 2
instructions 1
intention 1
interest 1
interpretations 1
into 4
introduces 1
intrusion 1
involved 1
is 36
it 11
italian 2
its 1
join 1
josef 1
judges 2
k 61
keep 1
kisses 1
knew 1
knife 3
knifeand 1
knowledge 1
lack 1
lanz 1
last 1
later 4
latter 1
law 1
lawyer 10
leading 1
leads 1
league 1
learned 1
learns 1
leave 2
left 2
legal 1
leni 3
lest 1
level 1
levels 3
like 1
little 1
lives 1
local 1
lodger 2
long 1
lower 2
made 1
makes 1
man 1
many 4
matters 1
may 1
meant 1
meet 1
meets 2
men 8
mini 1
mistress 1
mocks 1
montag 2
more 1
most 1
moving 2
name 1
narrator 1
need 1
neighbor 1
never 2
next 2
night 1
no 2
not 6
notices 1
nurse 1
obtain 1
of 38
offers 5
office 1
officer 1
offices 2
official 2
officials 2
old 1
on 7
one 3
only 1
opens 1
opinion 1
opposite 1
options 2
or 2
other 2
out 6
outside 1
overturned 1
own 1
pace 1
painter 2
parable 2
pass 1
perspective 1
phone 1
place 1
places 1
poisons 1
portraits 1
position 1
powerful 1
precisely 1
predicament 1
prepare 1
preparing 1
prevent 1
priest 6
proceedings 1
process 7
produces 1
provisional 1
published 1
pulls 1
pulpit 2
pursuing 1
quarry 1
raped 1
read 1
receives 1
regular 1
reinitiation 1
resistance 1
respect 1
result 1
returns 3
reveals 1
room 7
rules 2
running 1
saying 1
says 1
scenes 1
second 1
secret 1
seduce 1
seduces 1
seeking 1
seems 2
separately 1
seriousness 1
sermon 2
session 1
set 1
sets 1
setting 1
several 1
sexual 1
sexually 2
shabby 3
she 1
shock 1
shocked 1
short 1
shoulder 1
show 2
side 1
since 1
single 1
sitting 1
situation 2
small 2
some 1
speech 1
stabs 1
stay 1
steps 1
store 2
stories 1
subservience 1
suburb 1
successful 1
suddenly 1
summoned 1
summoning 1
sunday 1
surprised 1
suspects 2
swayed 1
sympathetic 1
take 5
taken 1
takes 1
taking 1
talk 1
talks 1
task 1
taunt 1
tease 1
teenage 1
tells 7
tenement 2
text 1
that 16
the 121
them 3
then 2
there 1
these 1
they 3
thirtieth 1
thirtyfirst 1
this 4
three 1
through 3
thrust 1
time 4
times 1
titorelli 6
to 49
told 1
toward 1
town 2
trial 2
tribunal 1
tries 1
turns 4
twice 1
twists 1
two 8
uncle 5
underestimating 1
understanding 1
unexpectedly 1
unfinished 1
unidentified 1
unknown 2
unspecified 2
up 2
us 1
vast 1
verdict 1
very 1
virtually 1
visit 1
visited 2
visits 2
waiting 1
walk 2
warren 1
was 2
what 2
when 1
where 3
which 6
whipped 2
whipper 1
who 14
whole 1
whom 1
wife 2
with 17
woman 2
women 1
words 1
work 3
works 1
worry 1
would 1
years 1
yet 2
