3699819
/m/09w2m8
/m/09w2m8
Frederick Forsyth
2003
10 1
16 1
2001 1
a 15
absence 1
act 3
actions 1
after 1
against 1
age 1
aid 1
america 1
american 2
americans 1
an 2
and 18
another 1
as 7
at 2
avenger 5
away 2
backstory 1
bait 1
be 3
becomes 1
been 2
beloved 1
billionaire 1
bin 1
book 1
bosnia 2
bosnian 1
boy 1
bring 1
but 2
by 5
calvin 2
canadian 1
catacomb 1
character 1
child 1
cia 4
cias 1
climbed 1
committed 1
could 1
couldnt 1
crimes 2
criminals 1
custody 1
date 1
daughter 2
deal 1
death 1
decorated 1
dedicated 1
deep 1
delivering 1
delivers 1
described 1
despite 1
details 1
devereaux 1
dexter 4
digs 1
discover 2
down 2
during 3
duty 1
early 1
edmonds 2
eliminate 2
end 1
ends 1
enemy 1
evades 1
eventually 2
every 1
executes 1
extremely 1
face 1
fall 1
family 1
farmcompound 1
fifties 1
first 1
followed 1
for 3
force 1
forced 1
foreign 1
from 3
fully 1
furiously 1
gang 1
gear 1
grandfather 1
had 3
has 1
he 6
headed 1
highly 1
him 6
himself 2
hires 2
his 10
hitman 1
home 1
horrific 1
hostilities 1
hunt 1
hunts 1
identity 1
iii 1
in 10
intertwined 1
into 7
introduces 1
is 8
it 1
just 1
justice 1
keep 1
key 1
kicks 1
killer 1
killers 1
killing 1
laden 1
lairs 1
larger 1
last 1
latino 1
lawyer 2
learns 2
let 1
life 1
lite 1
lured 1
main 1
manages 1
marginalized 1
married 1
mdash 1
meanwhile 1
members 1
miloevi 2
months 1
movements 1
moves 1
much 1
murdered 2
nabbing 1
named 1
narrative 1
not 1
novel 1
of 17
off 2
only 3
onto 1
operatives 1
osama 1
own 1
palatial 1
panama 1
passion 1
past 1
patriot 1
paul 1
plans 1
point 1
police 1
prevent 1
price 1
privileged 1
prostitution 1
provided 1
public 1
pursue 1
radar 1
rat 1
reason 1
recent 1
regime 1
rendering 1
result 1
returns 1
revealed 1
reveals 1
right 1
running 1
sadistic 1
second 1
secret 2
section 1
selfsufficient 1
september 1
serbian 1
services 1
shape 1
slip 1
slobodan 1
small 1
so 1
sole 1
son 1
source 1
south 1
stand 1
stated 1
states 1
stephen 1
story 2
successfully 1
suicide 1
task 1
terrorist 1
that 7
the 38
their 3
them 3
then 3
they 1
third 1
threat 2
tipped 1
to 17
tour 1
town 1
tracker 1
tracks 1
transforms 1
transport 1
trial 2
triathlons 1
tunnel 1
tunnels 1
turn 1
underground 1
united 1
unknown 1
use 1
used 1
very 1
veteran 1
vietcong 1
vietnam 1
view 1
volunteer 1
war 3
was 4
way 1
west 1
when 1
while 1
who 2
wife 1
will 1
with 4
work 1
working 1
young 1
zilic 8
zoran 1
