24015984
/m/07k4d3y
/m/07k4d3y
Nicholas Sparks
2003
{"/m/05hgj": "Novel"}
a 11
accident 1
acting 1
after 2
again 1
also 1
always 1
an 1
and 10
another 1
arrangement 1
as 3
ask 1
beating 1
before 2
behavior 1
believes 1
boy 1
brother 1
brothers 1
but 4
by 3
cannot 2
career 1
carefully 1
catalyst 1
chance 1
character 2
clever 1
compete 1
creating 1
dane 1
date 1
dating 1
death 2
deeply 1
deliberately 1
despair 1
dislikes 1
dog 1
drove 1
due 1
eligible 1
escape 1
eventually 1
ever 1
evidence 1
example 1
extremely 1
falls 1
false 1
family 1
father 1
feels 1
few 1
finds 1
first 2
for 3
foster 1
friend 1
friends 2
get 1
give 1
good 1
great 1
had 2
has 1
he 17
her 6
him 3
himself 1
his 5
human 1
hurting 1
hurts 1
husband 1
identity 1
in 6
into 1
is 9
jessica 1
jim 4
joins 1
julie 7
killing 2
kills 1
knife 1
leaves 1
life 1
like 1
live 1
love 2
loved 1
made 1
man 2
married 1
meets 1
men 1
mike 2
more 2
murderer 1
names 1
no 1
not 2
obsessive 1
of 3
one 2
only 1
out 2
over 1
own 2
personal 1
planned 1
previous 1
pushes 1
relationship 2
resemblance 1
richard 3
seems 1
sensing 1
severely 1
she 4
singer 2
so 1
some 1
space 1
starting 1
starts 1
still 1
story 1
stunned 1
sudden 1
takes 1
that 2
the 6
their 2
then 1
they 1
time 1
times 1
title 1
to 8
tries 1
trouble 1
two 1
unsatisfied 1
wanted 1
wants 1
was 2
watched 1
while 1
who 1
wife 1
will 1
with 7
woman 1
