26109841
/m/0b6nfcw
/m/0b6nfcw
Dennis Covington
1995
a 2
about 1
an 1
and 4
are 2
as 4
attempted 1
back 1
begins 1
bite 1
book 2
but 1
church 7
comes 1
congregation 1
conviction 1
covington 3
decreased 1
described 1
does 1
due 1
electric 1
eventually 1
face 2
find 1
first 2
following 2
for 1
funding 1
gas 1
given 1
glenn 1
go 1
god 1
goes 2
guitar 1
has 1
he 2
here 2
his 2
how 2
in 3
is 3
issue 1
it 2
kill 1
like 1
located 1
long 1
longtime 1
look 1
make 1
many 1
meets 1
member 1
members 1
more 1
mountain 1
next 1
no 1
notice 1
numbers 1
of 6
old 1
on 2
one 1
out 2
over 1
peculiar 1
prayer 1
progresses 1
putting 1
sand 1
service 2
session 1
should 1
signs 1
snake 2
snakes 2
some 1
split 1
station 1
story 1
such 2
suicide 1
summerford 2
taken 2
that 2
the 17
things 1
this 1
though 1
time 1
titular 1
to 7
up 1
via 1
visit 1
where 2
wife 1
with 2
worship 1
