4670516
/m/0cgfsp
/m/0cgfsp
Ted Dekker
2005
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 10
about 3
after 1
also 3
although 1
an 2
and 12
another 2
are 2
article 1
artifact 1
as 1
at 1
attempt 1
away 2
back 1
be 2
becomes 1
been 1
believed 1
believes 1
best 1
bought 1
braun 4
by 4
camp 2
camps 1
clues 1
come 1
commandant 2
concentration 2
david 2
defeat 1
dekker 1
desperate 1
died 1
discovers 1
do 1
else 1
eventually 1
find 2
five 1
for 1
four 1
friedman 1
friend 1
from 1
games 1
gave 1
gerhard 1
german 1
get 1
giant 1
giving 1
goes 1
goliath 1
had 3
hands 1
has 1
he 3
heads 1
help 1
here 1
hidden 1
him 1
his 5
historical 1
hope 1
house 3
however 1
idea 1
ii 1
immigrant 1
in 1
including 1
into 1
is 3
it 1
jewish 1
keep 1
kills 1
knew 1
knows 1
last 1
learns 1
letter 1
long 1
makes 1
martha 1
may 1
mother 4
mystery 1
nazi 1
new 1
newspaper 1
nightmare 1
obsessed 2
of 8
offer 1
old 1
on 2
one 2
orphan 1
other 1
out 2
own 1
owner 1
parents 1
plans 2
plays 1
pregnant 1
priceless 1
prisoners 1
property 1
quite 1
rachel 1
realtor 1
recently 1
remaining 1
right 1
roth 2
ruth 1
ruthless 1
seem 1
she 2
snatched 1
some 2
someone 1
son 1
spritzer 1
stephen 8
stone 1
stones 4
story 2
storyline 1
storylines 1
struggles 1
successful 1
takes 1
taking 1
ted 1
telling 1
tells 1
that 3
the 18
their 3
there 1
they 1
through 1
thugs 1
time 2
to 8
together 1
torn 1
tried 1
two 2
unconnected 1
unexpected 1
up 1
us 1
used 1
war 1
was 3
wealthy 1
were 1
where 2
whim 1
who 5
with 3
woman 1
women 1
world 1
wwii 1
