4808150
/m/0cp460
/m/0cp460
Philip Roth
2006-05
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
133 1
24yearold 1
a 6
advertising 1
affair 1
after 1
age 1
alone 1
an 3
and 11
artist 1
as 4
at 2
attempts 1
author 1
away 1
back 1
became 1
been 1
beginning 1
begins 1
book 3
born 1
brother 1
career 1
childhood 1
common 1
community 1
compassion 1
danish 1
daughter 1
death 2
divorced 2
early 1
elizabeth 2
ends 1
episodes 1
everyman 2
family 1
famous 1
father 1
feelings 1
first 1
for 1
frequent 1
from 4
funeral 1
gets 1
grows 1
has 4
having 2
he 10
her 2
him 2
himself 1
his 15
history 1
hospitalization 1
howie 1
impending 1
in 9
included 1
including 1
increasingly 1
is 1
its 1
jersey 2
jewelry 1
kindness 1
leaving 1
life 2
like 1
lives 1
looks 1
man 1
marriage 2
married 1
medical 1
miles 1
misdeeds 1
mistakes 1
model 1
mother 2
mournfully 1
moved 1
much 1
native 1
new 2
newark 1
not 1
novelist 1
of 7
old 2
older 1
on 1
one 1
order 1
ordinary 1
own 1
paint 1
passed 1
past 1
philip 1
ponders 1
problems 1
protagonist 2
recounts 1
reflections 1
remainder 1
resent 1
retirement 1
roth 3
second 1
series 1
share 1
shop 1
shore 1
sick 1
similar 1
six 1
sons 1
store 1
subsequently 1
support 1
that 1
the 9
their 1
third 1
though 1
three 1
times 1
to 5
traces 1
treats 1
two 1
unnamed 1
up 2
well 1
where 2
which 2
while 1
who 3
wife 1
with 5
work 1
worked 1
