19582332
/m/04n0k3f
/m/04n0k3f
Jon Cleary
2003
a 1
abc 1
an 1
and 1
as 1
assistant 1
been 1
ceo 1
clements 1
commission 1
company 1
covering 1
daughter 1
development 1
from 1
girlfriend 1
have 1
he 1
head 1
his 1
homicide 1
impregnated 1
inspector 1
into 1
investigates 1
investigation 1
is 3
journalist 1
malone 2
maureen 1
murder 1
murdered 1
natalie 1
now 1
of 3
orlando 2
personal 1
promoted 1
russ 1
scobie 1
securities 1
seems 1
shipwood 1
son 1
subsequently 1
superintendent 1
the 4
to 3
tom 1
while 1
who 1
