18785257
/m/04ydsdy
/m/04ydsdy
Edna Ferber
1926
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
126 1
a 17
able 1
about 1
actors 1
actress 1
admits 1
advances 1
affection 1
affectionately 1
african 1
after 4
again 1
all 2
alternately 1
among 1
ancestry 1
and 29
andy 2
ann 1
announces 2
announcing 1
anyone 1
are 4
arrest 1
arrives 2
as 3
at 6
baby 1
backs 1
baker 1
based 1
beaten 1
because 1
become 1
becomes 2
becoming 1
been 3
before 1
begins 1
believes 1
best 1
big 1
black 2
blood 3
blossom 2
board 1
boarding 2
boat 5
boats 1
born 1
borrows 1
box 1
broadway 1
but 3
buys 1
called 1
cannot 1
captain 2
case 1
century 1
cheats 1
chicago 1
chilson 1
chipley 1
city 2
claim 1
claims 1
classifying 1
close 2
coming 1
company 1
concerning 1
conventions 1
convergence 1
cotton 2
couple 2
crew 1
cut 1
dark 1
daughter 3
dead 1
death 1
decides 1
denounces 1
depending 1
desperate 1
destitute 1
devastated 1
died 1
discovers 1
do 1
does 2
done 1
dozier 2
drowns 1
drunk 1
during 1
eighteen 1
ellie 3
elope 1
engineer 1
enough 1
estranged 1
fall 1
falls 1
farewell 1
fate 1
father 1
feel 1
fell 1
fight 1
finally 1
find 1
finds 1
fist 1
for 4
former 1
fortune 1
forward 1
found 1
frank 1
friend 2
from 6
gambler 1
gambling 1
gaylord 1
get 1
gets 1
girl 1
gives 1
goes 2
gone 1
goodbye 1
had 1
halfblack 1
hand 2
handsome 1
has 10
having 1
hawks 1
he 10
hear 1
her 10
hetty 2
him 3
hired 2
his 2
house 2
husband 3
hysterically 1
illegal 1
illinois 1
implies 1
in 7
inheritance 1
into 1
is 19
it 2
joining 1
joppers 1
julie 17
keep 1
kentucky 1
kim 4
knife 1
knowing 1
known 2
lady 1
late 1
later 2
leading 2
leave 2
leaves 1
leaving 1
lemoyne 1
live 1
local 3
long 1
love 1
madam 2
magnolia 13
makes 1
making 1
man 2
manage 1
marriage 1
married 1
mcclain 1
members 1
miscegenation 1
mississippi 3
missouri 1
mollie 1
moment 1
money 2
months 1
mother 1
motherly 1
moves 1
names 1
negro 1
never 1
new 2
newest 1
night 1
nightclub 1
nineteenth 1
no 1
not 3
note 1
nothing 1
novel 1
now 1
observes 1
of 8
off 1
office 1
on 8
one 1
only 1
other 1
out 2
overboard 1
owner 1
parthy 6
perform 1
pete 4
picture 1
pilot 1
pocket 1
poor 1
promptly 1
propels 1
prostitutes 1
rather 2
ravenal 6
realizing 1
receives 1
refers 1
regular 1
rest 1
return 1
returns 4
revelation 1
revenge 1
rich 1
river 1
riverboat 2
same 1
says 2
scarce 1
schultzy 2
scrap 1
secret 1
secretary 1
sees 1
several 1
she 14
sheriff 3
shortly 1
show 4
showing 1
shrewish 1
sick 1
since 2
sleeps 1
social 1
some 3
soon 1
sorrowfully 1
soundly 1
states 1
steals 1
stern 1
steve 9
storm 1
story 1
stupor 1
successful 1
sucked 1
sucks 1
swears 1
takes 2
telegram 1
tells 1
ten 1
tenyearold 1
than 2
that 5
the 45
their 2
there 1
they 2
this 1
time 2
to 18
toward 2
towboat 1
town 1
troupe 1
try 1
unmentioned 1
unwanted 1
up 1
upset 1
utility 1
very 1
visit 1
was 2
we 1
well 2
what 1
when 5
where 1
which 3
white 1
who 1
whom 2
whorehouse 2
widow 1
wife 1
windy 1
winnings 1
with 6
work 2
working 1
year 1
years 3
york 1
