65379
/m/0hcby
/m/0hcby
John Wyndham
1951-12
a 28
able 1
about 2
accident 1
accidentally 2
across 1
address 1
after 3
again 1
aggressive 2
agreement 1
ahead 1
all 2
almost 1
along 1
an 6
anarchic 1
and 32
announces 1
another 1
any 1
appalls 1
appear 1
are 4
around 2
arrival 1
as 8
at 5
attempt 1
attempts 1
awakes 1
background 1
bandaged 1
be 3
beadley 6
beautiful 1
becomes 1
been 2
before 2
begin 3
begins 1
behaviour 1
behind 1
being 1
beset 1
bill 9
bioengineered 1
blind 6
book 1
both 2
breakins 1
building 1
but 3
by 10
called 1
can 1
capable 1
carcasses 1
care 1
chained 1
chance 1
chaos 1
charge 1
christian 1
cities 1
city 1
civilization 2
coker 5
collapsing 1
collecting 1
colony 4
comment 1
communicate 1
community 1
completely 1
consider 1
continue 1
convalescence 1
country 3
countryside 1
crowding 1
cultivation 1
darkened 1
daughter 1
day 2
days 1
deadly 1
dealt 1
decaying 1
decide 2
despite 1
despotic 1
destroy 1
determined 1
developed 1
diminishing 1
disable 1
discover 1
disease 1
display 1
down 2
drives 1
droplets 1
due 1
during 5
durrant 2
dying 1
each 2
earth 1
enables 1
enclave 1
enclaves 1
encroaching 1
ensuing 1
entire 1
entirely 1
escaped 1
essential 1
establish 1
established 1
estate 1
ever 1
existing 1
extracts 1
eyes 2
faction 1
fall 1
farm 2
feed 1
feigning 1
fetching 1
feudal 1
find 3
fire 1
fish 1
flee 1
food 1
for 3
forced 2
forcibly 1
from 3
fruitlessly 1
full 1
gang 1
general 1
girl 1
government 2
green 1
group 6
grow 1
guide 1
hand 1
harder 1
has 5
have 1
having 1
he 7
helicopter 1
him 1
himself 1
his 9
home 2
hospital 2
house 1
human 1
humanity 1
in 12
including 1
indeed 1
individuals 1
inhabitants 1
intelligent 1
intention 1
into 2
is 11
island 1
isle 2
it 4
its 1
join 3
joined 1
josella 10
keep 1
kidnaps 1
kill 1
lands 1
largely 1
later 1
lead 2
leader 1
leaders 1
learns 1
least 1
leave 2
leaves 1
led 2
left 1
light 2
lines 1
living 1
locating 1
london 5
long 1
love 1
lured 1
made 2
make 1
man 5
many 2
married 1
masen 9
masens 3
may 1
meets 1
members 2
men 1
meteor 2
miss 1
mock 1
more 2
morning 1
move 2
named 3
narrative 1
neither 1
nevertheless 1
new 1
next 2
night 1
nor 1
novel 1
novelist 1
nowdeparted 1
number 1
numerous 1
of 23
off 1
oil 1
oils 1
on 4
one 2
ongoing 1
only 2
or 2
orbiting 1
organized 1
other 3
otherwise 2
out 1
over 1
pass 1
people 1
pilot 1
place 2
plague 1
plane 1
plans 1
plants 2
playton 1
poisonous 1
polygamous 1
population 1
possess 1
possible 1
principles 1
protagonist 1
prove 1
rapidly 2
reasonable 1
rebuild 1
reclaim 1
recognizes 1
recorded 1
redhaired 1
redheaded 1
released 1
religious 1
reluctant 1
remembers 1
rendered 1
repentant 1
reports 1
represent 1
representative 1
result 1
returns 1
rival 1
roots 1
rotting 1
ruthless 1
save 1
scavengers 1
scheme 1
schism 1
search 2
see 2
seeds 1
seemingly 1
selfsufficient 1
sets 1
setting 1
settle 1
several 2
she 1
shining 1
shot 1
shower 2
sighted 6
silent 1
single 1
small 1
smuggling 1
soldiers 2
some 1
splashed 1
sprouting 1
squad 4
stages 1
steadily 1
sticks 1
sting 1
struggle 1
struggles 1
subsequent 1
succeed 1
success 1
successful 1
such 1
superior 1
supplies 2
surrounding 1
survived 1
survivors 2
susan 3
sussex 3
system 1
take 2
taken 1
takes 1
that 9
the 50
their 9
them 3
themselves 2
then 1
theorises 1
theory 1
there 1
they 6
this 2
through 1
thrown 1
to 31
together 1
told 1
torrence 2
triffid 2
triffids 6
triffidstall 1
triggered 1
two 1
tynsham 2
unbandaging 1
under 1
unexpected 1
university 2
unknown 1
until 1
unusual 1
up 1
upon 1
used 1
ussr 1
vegetable 1
vehicle 1
venom 1
victims 1
violent 1
walking 1
wanders 1
was 3
watched 1
watching 1
way 1
wealthy 1
weapons 1
well 1
were 1
when 1
which 2
while 1
whiplike 1
who 7
wight 2
wild 1
wilfred 1
will 1
wiltshire 1
wishes 1
with 9
witnesses 1
wives 1
woman 1
working 2
world 2
worldwide 1
years 1
young 1
