7351102
/m/025_0hs
/m/025_0hs
John Ridley
1999-06-08
{"/m/06n90": "Science Fiction"}
a 12
ability 1
act 1
after 1
against 2
ago 1
all 1
allout 1
also 1
an 5
and 7
angel 1
angeles 1
angelic 1
angels 1
anger 1
another 1
aoki 1
as 5
astounding 1
aubrey 1
avert 1
away 1
back 1
bad 1
battles 1
beings 1
between 1
bleed 1
blow 1
brass 1
bring 1
bullet 1
bullets 1
burn 1
but 2
by 3
call 1
cannot 1
character 1
charges 1
check 1
city 1
clad 1
collapse 1
colorcoded 1
colorfully 1
comes 1
commit 1
common 1
complete 1
considers 1
conspiracy 1
construction 1
continues 1
crew 1
crimes 1
d 1
dead 2
deadly 1
declared 1
declares 1
demotes 1
department 1
designation 1
designed 1
destruction 1
disabled 1
disasters 1
dismissing 1
division 1
doesnt 1
dont 1
during 1
earns 1
eddi 1
either 1
enemies 1
enforcement 1
entire 1
even 1
ever 1
executive 1
exploit 1
extreme 1
failure 1
familiarly 1
federal 1
fellow 1
few 1
filing 1
fire 1
first 1
follow 2
following 1
for 4
francisco 1
freak 1
frying 1
g 1
gayle 1
gentle 1
go 1
gone 1
government 1
grieving 1
gun 3
has 1
hated 1
hatred 1
have 1
held 1
her 8
herself 2
hiding 1
hightech 1
his 2
horrified 1
hunts 1
husband 1
if 1
in 7
individual 1
investigate 1
is 2
issued 1
it 1
just 2
killer 2
known 2
lapd 1
law 1
lawyer 1
legal 1
life 1
live 1
lives 5
long 1
los 1
main 1
manipulator 1
matter 1
men 1
mentally 1
metal 1
metanormal 2
metanormals 2
metas 2
michelle 2
might 1
modernday 1
modified 1
more 1
mtac 3
mtacs 1
murderous 1
mysterious 1
named 1
neither 1
nickname 1
normal 1
not 2
obsessive 1
odwyer 1
of 13
officer 1
official 1
on 1
once 1
one 1
only 1
or 4
order 2
oroark 1
outlawing 1
partners 1
people 2
platoon 2
police 1
possess 1
possesses 1
powers 3
presumably 1
prey 1
procedure 1
profession 1
public 1
pyrokinetic 1
rampaging 1
reaction 1
regarded 1
reveals 1
rocked 1
rookie 1
san 1
save 2
saves 1
serial 2
several 1
she 3
shoots 1
short 1
shrugged 1
singleminded 1
so 1
soledad 6
squad 1
standards 1
still 1
street 1
streets 1
succumbs 1
such 1
super 1
superbattle 1
superheroes 1
supervillains 1
suspects 1
swat 1
tactical 1
targeting 1
telepathic 1
the 29
their 1
them 1
these 1
they 3
theyre 1
titans 1
to 9
try 1
undercover 1
unit 1
unregistered 1
until 1
use 1
uses 1
using 2
variablelethality 1
various 1
vaughn 2
very 2
war 2
weaknesses 1
weapon 1
were 2
what 1
when 2
where 1
whether 1
which 2
who 3
whose 1
wife 1
winged 2
with 4
without 1
witness 1
woman 2
women 1
work 1
world 1
years 1
