5052099
/m/0d0lvh
/m/0d0lvh
John Farris
1976
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 5
age 1
and 4
as 1
bellaver 1
both 1
boundaries 1
boy 1
but 3
childermass 1
clairvoyant 1
coat 1
come 1
death 1
drowns 1
entered 1
fact 1
father 2
find 3
finds 1
get 1
gillian 4
girl 1
grabs 1
has 3
helps 1
her 3
herself 1
him 1
in 1
is 5
kidnapped 2
kidnapper 1
killed 1
like 1
mercilessly 1
out 1
peter 2
powers 2
psychic 2
realize 1
reject 1
robin 5
room 1
sandza 2
she 6
son 1
soon 1
such 1
teenage 1
telekinesis 1
telepathy 1
that 2
the 2
their 1
they 1
though 2
to 3
trying 1
up 1
victim 1
wakes 1
was 1
when 1
who 1
winter 1
with 1
