8237572
/m/026x9s9
/m/026x9s9
Maj Sjöwall
1975
a 7
accused 1
africa 1
american 1
an 2
at 1
attack 2
bank 1
beck 1
book 1
born 1
by 2
commit 1
danish 1
eighteenyear 1
film 1
found 1
heydt 1
highly 1
his 1
home 1
in 1
intended 1
involves 1
is 4
later 1
leading 1
led 1
main 1
martin 1
mistress 1
mother 1
murdered 1
never 1
of 4
official 1
old 1
on 1
opens 1
paying 1
pietermaritzburg 1
plot 1
policemen 1
pornographic 1
presumed 1
prevent 1
producer 1
reinhard 1
robbery 1
senator 1
she 1
south 1
story 1
sweden 1
team 1
terrorist 2
the 5
to 3
trial 1
unpopular 1
visit 1
where 1
who 1
with 1
woman 1
