27232642
/m/0bwlzx8
/m/0bwlzx8
Lin Carter

a 3
adventure 1
against 1
airship 2
all 1
alliance 1
an 1
and 12
another 2
are 4
as 2
away 2
become 1
becoming 1
borak 1
boy 1
by 6
callisto 1
capital 1
captain 1
captive 1
carried 1
celebrate 1
challenges 1
chess 1
city 1
citystates 1
combined 1
companions 1
comrades 1
contest 1
damaged 1
darza 1
death 1
denouement 1
drift 1
duel 1
emperor 3
end 1
escape 1
falls 1
fellow 1
fido 2
fight 1
fighting 1
final 1
find 1
for 1
form 1
from 1
game 2
ganatol 1
has 1
he 2
held 1
help 1
her 1
hero 1
hidden 1
his 2
home 1
horde 2
hordes 5
human 1
in 4
insectoid 2
interrupted 1
into 1
is 3
jandar 3
jovian 1
jungle 1
koja 7
leadership 1
live 1
locate 1
lost 1
love 1
meet 1
mercantile 1
missing 1
moon 1
must 1
new 1
of 9
on 2
once 1
one 1
or 1
other 1
othode 1
othodes 1
over 1
own 2
perushtar 1
pet 1
pieces 2
plains 1
players 1
princess 1
prisoner 2
protagonists 2
quickly 1
reassumed 1
rescued 1
rescuers 1
retaken 1
right 1
rule 1
ruled 1
sanctuary 1
sargol 1
saved 2
secure 1
sent 1
series 1
set 1
ship 1
shondakar 3
shows 1
singly 1
some 1
take 1
taken 1
takes 1
taran 3
thanator 1
thanatorian 1
the 25
their 1
there 1
they 1
three 1
to 9
triumphant 1
unfortunately 1
up 2
utilizing 1
valkar 1
vandar 1
warrior 1
way 1
waylaid 1
well 1
while 1
who 2
with 2
xara 4
yathoon 5
