30196697
/m/0g54csv
/m/0g54csv
Ben Bova

{"/m/06n90": "Science Fiction"}
a 14
abandon 1
about 1
access 1
after 1
against 2
ages 1
agrees 1
all 1
allows 1
almost 2
along 2
already 1
also 1
and 19
another 1
any 1
anya 8
are 3
area 1
army 2
arrival 1
as 5
assess 1
attack 1
awakes 2
aware 1
baby 2
back 3
be 4
beacon 1
became 1
been 6
before 1
blocked 1
both 2
break 1
brings 1
but 2
by 8
captured 2
cataclysm 1
chaos 1
come 1
coming 1
confront 1
contact 2
control 1
convinces 1
cowed 1
creators 6
creature 1
cretaceous 1
dark 1
deals 1
debris 1
decides 1
deep 1
destroy 1
device 1
devilish 1
dinosaur 3
dinosaurs 1
discover 2
down 1
earth 3
eaten 1
encounter 2
encourages 1
enter 1
equipment 1
era 3
escape 1
escaping 1
eventually 1
fellow 1
fight 1
find 3
flames 1
for 7
forest 3
forever 1
fortress 3
free 1
from 4
fruit 1
game 1
garden 2
general 1
get 1
gigantic 1
goes 2
group 2
groups 1
guarded 1
had 1
has 1
he 12
hell 1
help 2
helped 1
her 2
hide 1
hiding 2
him 7
himself 2
his 3
home 1
however 6
huge 1
humans 1
in 14
initially 1
initiate 1
inside 1
intent 1
into 4
is 9
it 3
jump 1
kill 2
killed 1
killing 1
kraal 4
leadership 1
leave 1
leaving 1
led 1
left 1
live 1
locates 1
look 1
looking 1
mammals 1
man 1
manages 1
mask 1
masters 1
maybe 1
merging 1
meteors 1
mission 1
mongolian 1
more 1
move 1
murder 1
neolithic 3
nexus 1
night 1
novel 1
now 2
number 1
of 21
ogotai 1
on 2
one 1
only 2
order 2
orion 14
out 6
over 1
owns 1
particular 1
pelts 1
people 1
place 1
plan 1
planet 1
plans 2
plot 1
previous 1
promises 1
proves 1
punishment 1
quite 1
reeva 1
reluctantly 1
resolve 1
rest 1
retribution 1
revenge 1
ridden 1
roast 1
same 1
save 1
saved 1
saves 1
sees 1
sells 1
send 2
sends 1
series 1
serves 1
set 21
sets 1
settle 1
shaydan 2
she 1
sheol 1
situation 1
skin 1
slaves 3
snakes 1
so 1
spies 1
stand 2
starts 1
stasis 1
statue 1
stopped 1
stops 1
strong 2
subotai 1
succeed 1
succeeds 2
successful 1
suggests 1
sun 1
survive 1
survives 1
take 2
taken 1
taking 1
tells 1
temple 2
that 5
the 39
their 6
them 8
themselves 1
then 12
there 1
they 15
this 3
throughout 1
throwing 1
thrown 1
thus 1
till 1
time 5
to 39
together 2
too 2
torture 1
totem 1
transported 1
trapping 1
tribes 1
tries 3
try 5
two 1
unable 1
under 1
undone 1
unfortunately 1
unite 2
until 1
upon 2
use 1
used 1
vengeance 1
walk 1
warn 1
warning 1
warp 2
way 1
weakens 1
wearing 1
what 1
where 3
wherein 1
which 4
who 3
whom 1
whose 1
wife 1
wipe 1
with 5
without 1
work 1
would 1
